"Input number 965500 with intial rewrite term cbbababbbabbabbbbbaad
Generated final number 6209 with final rewrite term cbaaaabaaaaabd
Number of steps: 602  Number of array doubles: 0"
Term	Number
cebabbbabbbabbbbbabaad	1957364
cbbabbbabbbabbbbbabaad	1957364
cbbabbbabbbabbbbbabad	978682
cbbabbbabbbabbbbbabd	489341
cbbabbbabbbabbbbbagd	734012
cbbabbbabbbabbbbbfad	734012
cbbabbbabbbabbbbgaad	734012
cbbabbbabbbabbbgbaad	734012
cbbabbbabbbabbgbbaad	734012
cbbabbbabbbabgbbbaad	734012
cbbabbbabbbagbbbbaad	734012
cbbabbbabbbfabbbbaad	734012
cbbabbbabbgaabbbbaad	734012
cbbabbbabgbaabbbbaad	734012
cbbabbbagbbaabbbbaad	734012
cbbabbbfabbaabbbbaad	734012
cbbabbgaabbaabbbbaad	734012
cbbabgbaabbaabbbbaad	734012
cbbagbbaabbaabbbbaad	734012
cbbfabbaabbaabbbbaad	734012
cbgaabbaabbaabbbbaad	734012
cgbaabbaabbaabbbbaad	734012
cabbaabbaabbaabbbbaad	734012
cabbaabbaabbaabbbbad	367006
cabbaabbaabbaabbbbd	183503
cabbaabbaabbaabbbgd	275255
cabbaabbaabbaabbgbd	275255
cabbaabbaabbaabgbbd	275255
cabbaabbaabbaagbbbd	275255
cabbaabbaabbafabbbd	275255
cabbaabbaabbebabbbd	275255
cabbaabbaabfbbabbbd	275255
cabbaabbaagabbabbbd	275255
cabbaabbafaabbabbbd	275255
cabbaabbebaabbabbbd	275255
cabbaabfbbaabbabbbd	275255
cabbaagabbaabbabbbd	275255
cabbafaabbaabbabbbd	275255
cabbebaabbaabbabbbd	275255
cabfbbaabbaabbabbbd	275255
cagabbaabbaabbabbbd	275255
cfaabbaabbaabbabbbd	275255
caaaabbaabbaabbabbbd	275255
caaaabbaabbaabbabbgd	412883
caaaabbaabbaabbabgbd	412883
caaaabbaabbaabbagbbd	412883
caaaabbaabbaabbfabbd	412883
caaaabbaabbaabgaabbd	412883
caaaabbaabbaagbaabbd	412883
caaaabbaabbafabaabbd	412883
caaaabbaabbebabaabbd	412883
caaaabbaabfbbabaabbd	412883
caaaabbaagabbabaabbd	412883
caaaabbafaabbabaabbd	412883
caaaabbebaabbabaabbd	412883
caaaabfbbaabbabaabbd	412883
caaaagabbaabbabaabbd	412883
caaafaabbaabbabaabbd	412883
caaebaabbaabbabaabbd	412883
caeabaabbaabbabaabbd	412883
ceaabaabbaabbabaabbd	412883
cbaabaabbaabbabaabbd	412883
cbaabaabbaabbabaabgd	619325
cbaabaabbaabbabaagbd	619325
cbaabaabbaabbabafabd	619325
cbaabaabbaabbabebabd	619325
cbaabaabbaabbafbbabd	619325
cbaabaabbaabbebbbabd	619325
cbaabaabbaabfbbbbabd	619325
cbaabaabbaagabbbbabd	619325
cbaabaabbafaabbbbabd	619325
cbaabaabbebaabbbbabd	619325
cbaabaabfbbaabbbbabd	619325
cbaabaagabbaabbbbabd	619325
cbaabafaabbaabbbbabd	619325
cbaabebaabbaabbbbabd	619325
cbaafbbaabbaabbbbabd	619325
cbaebbbaabbaabbbbabd	619325
cbeabbbaabbaabbbbabd	619325
cfbabbbaabbaabbbbabd	619325
caababbbaabbaabbbbabd	619325
caababbbaabbaabbbbagd	928988
caababbbaabbaabbbbfad	928988
caababbbaabbaabbbgaad	928988
caababbbaabbaabbgbaad	928988
caababbbaabbaabgbbaad	928988
caababbbaabbaagbbbaad	928988
caababbbaabbafabbbaad	928988
caababbbaabbebabbbaad	928988
caababbbaabfbbabbbaad	928988
caababbbaagabbabbbaad	928988
caababbbafaabbabbbaad	928988
caababbbebaabbabbbaad	928988
caababbfbbaabbabbbaad	928988
caababgabbaabbabbbaad	928988
caabagbabbaabbabbbaad	928988
caabfababbaabbabbbaad	928988
caagaababbaabbabbbaad	928988
cafaaababbaabbabbbaad	928988
cebaaababbaabbabbbaad	928988
cbbaaababbaabbabbbaad	928988
cbbaaababbaabbabbbad	464494
