"Input number 231166 with intial rewrite term cbbaaaabbabbbbbbbad
Generated final number 17 with final rewrite term caaabd
Number of steps: 471  Number of array doubles: 0"
Term	Number
cbbbabaafaaabbaaaad	375344
cbbbabaebaaabbaaaad	375344
cbbbabeabaaabbaaaad	375344
cbbbafbabaaabbaaaad	375344
cbbbebbabaaabbaaaad	375344
cbbfbbbabaaabbaaaad	375344
cbgabbbabaaabbaaaad	375344
cgbabbbabaaabbaaaad	375344
cabbabbbabaaabbaaaad	375344
cabbabbbabaaabbaaad	187672
cabbabbbabaaabbaad	93836
cabbabbbabaaabbad	46918
cabbabbbabaaabbd	23459
cabbabbbabaaabgd	35189
cabbabbbabaaagbd	35189
cabbabbbabaafabd	35189
cabbabbbabaebabd	35189
cabbabbbabeababd	35189
cabbabbbafbababd	35189
cabbabbbebbababd	35189
cabbabbfbbbababd	35189
cabbabgabbbababd	35189
cabbagbabbbababd	35189
cabbfababbbababd	35189
cabgaababbbababd	35189
cagbaababbbababd	35189
cfabaababbbababd	35189
caaabaababbbababd	35189
caaabaababbbabagd	52784
caaabaababbbabfad	52784
caaabaababbbagaad	52784
caaabaababbbfaaad	52784
caaabaababbgaaaad	52784
caaabaababgbaaaad	52784
caaabaabagbbaaaad	52784
caaabaabfabbaaaad	52784
caaabaagaabbaaaad	52784
caaabafaaabbaaaad	52784
caaabebaaabbaaaad	52784
caaafbbaaabbaaaad	52784
caaebbbaaabbaaaad	52784
caeabbbaaabbaaaad	52784
ceaabbbaaabbaaaad	52784
cbaabbbaaabbaaaad	52784
cbaabbbaaabbaaad	26392
cbaabbbaaabbaad	13196
cbaabbbaaabbad	6598
cbaabbbaaabbd	3299
cbaabbbaaabgd	4949
cbaabbbaaagbd	4949
cbaabbbaafabd	4949
cbaabbbaebabd	4949
cbaabbbeababd	4949
cbaabbfbababd	4949
cbaabgabababd	4949
cbaagbabababd	4949
cbafababababd	4949
cbebababababd	4949
cfbbababababd	4949
caabbababababd	4949
caabbabababagd	7424
caabbabababfad	7424
caabbababagaad	7424
caabbababfaaad	7424
caabbabagaaaad	7424
caabbabfaaaaad	7424
caabbagaaaaaad	7424
caabbfaaaaaaad	7424
caabgaaaaaaaad	7424
caagbaaaaaaaad	7424
cafabaaaaaaaad	7424
cebabaaaaaaaad	7424
cbbabaaaaaaaad	7424
cbbabaaaaaaad	3712
cbbabaaaaaad	1856
cbbabaaaaad	928
cbbabaaaad	464
cbbabaaad	232
cbbabaad	116
cbbabad	58
cbbabd	29
cbbagd	44
cbbfad	44
cbgaad	44
cgbaad	44
cabbaad	44
cabbad	22
cabbd	11
cabgd	17
cagbd	17
cfabd	17
caaabd	17
