"Input number 140458198 with intial rewrite term caaaababbbbbaabbbaaabbababbad
Generated final number 32070439 with final rewrite term cbbbabaabababbabbaabaabbbd
Number of steps: 541  Number of array doubles: 0"
Term	Number
caaabbbbaaaababfabbbaaaaaabd	112493441
caaabbbbaaaabagaabbbaaaaaabd	112493441
caaabbbbaaaabfaaabbbaaaaaabd	112493441
caaabbbbaaaagaaaabbbaaaaaabd	112493441
caaabbbbaaafaaaaabbbaaaaaabd	112493441
caaabbbbaaebaaaaabbbaaaaaabd	112493441
caaabbbbaeabaaaaabbbaaaaaabd	112493441
caaabbbbeaabaaaaabbbaaaaaabd	112493441
caaabbbfbaabaaaaabbbaaaaaabd	112493441
caaabbgabaabaaaaabbbaaaaaabd	112493441
caaabgbabaabaaaaabbbaaaaaabd	112493441
caaagbbabaabaaaaabbbaaaaaabd	112493441
caafabbabaabaaaaabbbaaaaaabd	112493441
caebabbabaabaaaaabbbaaaaaabd	112493441
ceababbabaabaaaaabbbaaaaaabd	112493441
cbababbabaabaaaaabbbaaaaaabd	112493441
cbababbabaabaaaaabbbaaaaebd	84370081
cbababbabaabaaaaabbbaaaeabd	84370081
cbababbabaabaaaaabbbaaeaabd	84370081
cbababbabaabaaaaabbbaeaaabd	84370081
cbababbabaabaaaaabbbeaaaabd	84370081
cbababbabaabaaaaabbfbaaaabd	84370081
cbababbabaabaaaaabgabaaaabd	84370081
cbababbabaabaaaaagbabaaaabd	84370081
cbababbabaabaaaafababaaaabd	84370081
cbababbabaabaaaebababaaaabd	84370081
cbababbabaabaaeabababaaaabd	84370081
cbababbabaabaeaabababaaaabd	84370081
cbababbabaabeaaabababaaaabd	84370081
cbababbabaafbaaabababaaaabd	84370081
cbababbabaebbaaabababaaaabd	84370081
cbababbabeabbaaabababaaaabd	84370081
cbababbafbabbaaabababaaaabd	84370081
cbababbebbabbaaabababaaaabd	84370081
cbababfbbbabbaaabababaaaabd	84370081
cbabagabbbabbaaabababaaaabd	84370081
cbabfaabbbabbaaabababaaaabd	84370081
cbagaaabbbabbaaabababaaaabd	84370081
cbfaaaabbbabbaaabababaaaabd	84370081
cgaaaaabbbabbaaabababaaaabd	84370081
cabaaaaabbbabbaaabababaaaabd	84370081
cabaaaaabbbabbaaabababaaebd	63277561
cabaaaaabbbabbaaabababaeabd	63277561
cabaaaaabbbabbaaabababeaabd	63277561
cabaaaaabbbabbaaababafbaabd	63277561
cabaaaaabbbabbaaababebbaabd	63277561
cabaaaaabbbabbaaabafbbbaabd	63277561
cabaaaaabbbabbaaabebbbbaabd	63277561
cabaaaaabbbabbaaafbbbbbaabd	63277561
cabaaaaabbbabbaaebbbbbbaabd	63277561
cabaaaaabbbabbaeabbbbbbaabd	63277561
cabaaaaabbbabbeaabbbbbbaabd	63277561
cabaaaaabbbabfbaabbbbbbaabd	63277561
cabaaaaabbbagabaabbbbbbaabd	63277561
cabaaaaabbbfaabaabbbbbbaabd	63277561
cabaaaaabbgaaabaabbbbbbaabd	63277561
cabaaaaabgbaaabaabbbbbbaabd	63277561
cabaaaaagbbaaabaabbbbbbaabd	63277561
cabaaaafabbaaabaabbbbbbaabd	63277561
cabaaaebabbaaabaabbbbbbaabd	63277561
cabaaeababbaaabaabbbbbbaabd	63277561
cabaeaababbaaabaabbbbbbaabd	63277561
cabeaaababbaaabaabbbbbbaabd	63277561
cafbaaababbaaabaabbbbbbaabd	63277561
cebbaaababbaaabaabbbbbbaabd	63277561
cbbbaaababbaaabaabbbbbbaabd	63277561
cbbbaaababbaaabaabbbbbbebd	47458171
cbbbaaababbaaabaabbbbbfbbd	47458171
cbbbaaababbaaabaabbbbgabbd	47458171
cbbbaaababbaaabaabbbgbabbd	47458171
cbbbaaababbaaabaabbgbbabbd	47458171
cbbbaaababbaaabaabgbbbabbd	47458171
cbbbaaababbaaabaagbbbbabbd	47458171
cbbbaaababbaaabafabbbbabbd	47458171
cbbbaaababbaaabebabbbbabbd	47458171
cbbbaaababbaaafbbabbbbabbd	47458171
cbbbaaababbaaebbbabbbbabbd	47458171
cbbbaaababbaeabbbabbbbabbd	47458171
cbbbaaababbeaabbbabbbbabbd	47458171
cbbbaaababfbaabbbabbbbabbd	47458171
cbbbaaabagabaabbbabbbbabbd	47458171
cbbbaaabfaabaabbbabbbbabbd	47458171
cbbbaaagaaabaabbbabbbbabbd	47458171
cbbbaafaaaabaabbbabbbbabbd	47458171
cbbbaebaaaabaabbbabbbbabbd	47458171
cbbbeabaaaabaabbbabbbbabbd	47458171
cbbfbabaaaabaabbbabbbbabbd	47458171
cbgababaaaabaabbbabbbbabbd	47458171
cgbababaaaabaabbbabbbbabbd	47458171
cabbababaaaabaabbbabbbbabbd	47458171
