"Input number 71106448 with intial rewrite term caaaabbbbaabbbbbbbbbaabaaaad
Generated final number 1352965 with final rewrite term cabaababaababaaaaababd
Number of steps: 427  Number of array doubles: 0"
Term	Number
cbbbabaaabbebaabbbaabd	3003193
cbbbabaaabfbbaabbbaabd	3003193
cbbbabaaagabbaabbbaabd	3003193
cbbbabaafaabbaabbbaabd	3003193
cbbbabaebaabbaabbbaabd	3003193
cbbbabeabaabbaabbbaabd	3003193
cbbbafbabaabbaabbbaabd	3003193
cbbbebbabaabbaabbbaabd	3003193
cbbfbbbabaabbaabbbaabd	3003193
cbgabbbabaabbaabbbaabd	3003193
cgbabbbabaabbaabbbaabd	3003193
cabbabbbabaabbaabbbaabd	3003193
cabbabbbabaabbaabbbebd	2252395
cabbabbbabaabbaabbfbbd	2252395
cabbabbbabaabbaabgabbd	2252395
cabbabbbabaabbaagbabbd	2252395
cabbabbbabaabbafababbd	2252395
cabbabbbabaabbebababbd	2252395
cabbabbbabaabfbbababbd	2252395
cabbabbbabaagabbababbd	2252395
cabbabbbabafaabbababbd	2252395
cabbabbbabebaabbababbd	2252395
cabbabbbafbbaabbababbd	2252395
cabbabbbebbbaabbababbd	2252395
cabbabbfbbbbaabbababbd	2252395
cabbabgabbbbaabbababbd	2252395
cabbagbabbbbaabbababbd	2252395
cabbfababbbbaabbababbd	2252395
cabgaababbbbaabbababbd	2252395
cagbaababbbbaabbababbd	2252395
cfabaababbbbaabbababbd	2252395
caaabaababbbbaabbababbd	2252395
caaabaababbbbaabbabfabd	3378593
caaabaababbbbaabbagaabd	3378593
caaabaababbbbaabbfaaabd	3378593
caaabaababbbbaabgaaaabd	3378593
caaabaababbbbaagbaaaabd	3378593
caaabaababbbbafabaaaabd	3378593
caaabaababbbbebabaaaabd	3378593
caaabaababbbfbbabaaaabd	3378593
caaabaababbgabbabaaaabd	3378593
caaabaababgbabbabaaaabd	3378593
caaabaabagbbabbabaaaabd	3378593
caaabaabfabbabbabaaaabd	3378593
caaabaagaabbabbabaaaabd	3378593
caaabafaaabbabbabaaaabd	3378593
caaabebaaabbabbabaaaabd	3378593
caaafbbaaabbabbabaaaabd	3378593
caaebbbaaabbabbabaaaabd	3378593
caeabbbaaabbabbabaaaabd	3378593
ceaabbbaaabbabbabaaaabd	3378593
cbaabbbaaabbabbabaaaabd	3378593
cbaabbbaaabbabbabaaebd	2533945
cbaabbbaaabbabbabaeabd	2533945
cbaabbbaaabbabbabeaabd	2533945
cbaabbbaaabbabbafbaabd	2533945
cbaabbbaaabbabbebbaabd	2533945
cbaabbbaaabbabfbbbaabd	2533945
cbaabbbaaabbagabbbaabd	2533945
cbaabbbaaabbfaabbbaabd	2533945
cbaabbbaaabgaaabbbaabd	2533945
cbaabbbaaagbaaabbbaabd	2533945
cbaabbbaafabaaabbbaabd	2533945
cbaabbbaebabaaabbbaabd	2533945
cbaabbbeababaaabbbaabd	2533945
cbaabbfbababaaabbbaabd	2533945
cbaabgabababaaabbbaabd	2533945
cbaagbabababaaabbbaabd	2533945
cbafababababaaabbbaabd	2533945
cbebababababaaabbbaabd	2533945
cfbbababababaaabbbaabd	2533945
caabbababababaaabbbaabd	2533945
caabbababababaaabbbebd	1900459
caabbababababaaabbfbbd	1900459
caabbababababaaabgabbd	1900459
caabbababababaaagbabbd	1900459
caabbababababaafababbd	1900459
caabbababababaebababbd	1900459
caabbababababeabababbd	1900459
caabbabababafbabababbd	1900459
caabbabababebbabababbd	1900459
caabbababafbbbabababbd	1900459
caabbababebbbbabababbd	1900459
caabbabafbbbbbabababbd	1900459
caabbabebbbbbbabababbd	1900459
caabbafbbbbbbbabababbd	1900459
caabbebbbbbbbbabababbd	1900459
caabfbbbbbbbbbabababbd	1900459
caagabbbbbbbbbabababbd	1900459
cafaabbbbbbbbbabababbd	1900459
cebaabbbbbbbbbabababbd	1900459
cbbaabbbbbbbbbabababbd	1900459
cbbaabbbbbbbbbababfabd	2850689
cbbaabbbbbbbbbabagaabd	2850689
cbbaabbbbbbbbbabfaaabd	2850689
cbbaabbbbbbbbbagaaaabd	2850689
cbbaabbbbbbbbbfaaaaabd	2850689
cbbaabbbbbbbbgaaaaaabd	2850689
cbbaabbbbbbbgbaaaaaabd	2850689
cbbaabbbbbbgbbaaaaaabd	2850689
cbbaabbbbbgbbbaaaaaabd	2850689
cbbaabbbbgbbbbaaaaaabd	2850689
cbbaabbbgbbbbbaaaaaabd	2850689
cbbaabbgbbbbbbaaaaaabd	2850689
cbbaabgbbbbbbbaaaaaabd	2850689
cbbaagbbbbbbbbaaaaaabd	2850689
cbbafabbbbbbbbaaaaaabd	2850689
cbbebabbbbbbbbaaaaaabd	2850689
cbfbbabbbbbbbbaaaaaabd	2850689
cgabbabbbbbbbbaaaaaabd	2850689
cababbabbbbbbbbaaaaaabd	2850689
cababbabbbbbbbbaaaaebd	2138017
cababbabbbbbbbbaaaeabd	2138017
cababbabbbbbbbbaaeaabd	2138017
cababbabbbbbbbbaeaaabd	2138017
cababbabbbbbbbbeaaaabd	2138017
cababbabbbbbbbfbaaaabd	2138017
cababbabbbbbbgabaaaabd	2138017
cababbabbbbbgbabaaaabd	2138017
cababbabbbbgbbabaaaabd	2138017
cababbabbbgbbbabaaaabd	2138017
cababbabbgbbbbabaaaabd	2138017
cababbabgbbbbbabaaaabd	2138017
cababbagbbbbbbabaaaabd	2138017
cababbfabbbbbbabaaaabd	2138017
cababgaabbbbbbabaaaabd	2138017
cabagbaabbbbbbabaaaabd	2138017
cabfabaabbbbbbabaaaabd	2138017
cagaabaabbbbbbabaaaabd	2138017
cfaaabaabbbbbbabaaaabd	2138017
caaaaabaabbbbbbabaaaabd	2138017
caaaaabaabbbbbbabaaebd	1603513
caaaaabaabbbbbbabaeabd	1603513
caaaaabaabbbbbbabeaabd	1603513
caaaaabaabbbbbbafbaabd	1603513
caaaaabaabbbbbbebbaabd	1603513
caaaaabaabbbbbfbbbaabd	1603513
caaaaabaabbbbgabbbaabd	1603513
caaaaabaabbbgbabbbaabd	1603513
caaaaabaabbgbbabbbaabd	1603513
caaaaabaabgbbbabbbaabd	1603513
caaaaabaagbbbbabbbaabd	1603513
caaaaabafabbbbabbbaabd	1603513
caaaaabebabbbbabbbaabd	1603513
caaaaafbbabbbbabbbaabd	1603513
caaaaebbbabbbbabbbaabd	1603513
caaaeabbbabbbbabbbaabd	1603513
caaeaabbbabbbbabbbaabd	1603513
caeaaabbbabbbbabbbaabd	1603513
ceaaaabbbabbbbabbbaabd	1603513
cbaaaabbbabbbbabbbaabd	1603513
cbaaaabbbabbbbabbbebd	1202635
cbaaaabbbabbbbabbfbbd	1202635
cbaaaabbbabbbbabgabbd	1202635
cbaaaabbbabbbbagbabbd	1202635
cbaaaabbbabbbbfababbd	1202635
cbaaaabbbabbbgaababbd	1202635
cbaaaabbbabbgbaababbd	1202635
cbaaaabbbabgbbaababbd	1202635
cbaaaabbbagbbbaababbd	1202635
cbaaaabbbfabbbaababbd	1202635
cbaaaabbgaabbbaababbd	1202635
cbaaaabgbaabbbaababbd	1202635
cbaaaagbbaabbbaababbd	1202635
cbaaafabbaabbbaababbd	1202635
cbaaebabbaabbbaababbd	1202635
cbaeababbaabbbaababbd	1202635
cbeaababbaabbbaababbd	1202635
cfbaababbaabbbaababbd	1202635
caabaababbaabbbaababbd	1202635
caabaababbaabbbaabfabd	1803953
caabaababbaabbbaagaabd	1803953
caabaababbaabbbafaaabd	1803953
caabaababbaabbbebaaabd	1803953
caabaababbaabbfbbaaabd	1803953
caabaababbaabgabbaaabd	1803953
caabaababbaagbabbaaabd	1803953
caabaababbafababbaaabd	1803953
caabaababbebababbaaabd	1803953
caabaababfbbababbaaabd	1803953
caabaabagabbababbaaabd	1803953
caabaabfaabbababbaaabd	1803953
caabaagaaabbababbaaabd	1803953
caabafaaaabbababbaaabd	1803953
caabebaaaabbababbaaabd	1803953
caafbbaaaabbababbaaabd	1803953
caebbbaaaabbababbaaabd	1803953
ceabbbaaaabbababbaaabd	1803953
cbabbbaaaabbababbaaabd	1803953
cbabbbaaaabbababbaebd	1352965
cbabbbaaaabbababbeabd	1352965
cbabbbaaaabbababfbabd	1352965
cbabbbaaaabbabagababd	1352965
cbabbbaaaabbabfaababd	1352965
cbabbbaaaabbagaaababd	1352965
cbabbbaaaabbfaaaababd	1352965
cbabbbaaaabgaaaaababd	1352965
cbabbbaaaagbaaaaababd	1352965
cbabbbaaafabaaaaababd	1352965
cbabbbaaebabaaaaababd	1352965
cbabbbaeababaaaaababd	1352965
cbabbbeaababaaaaababd	1352965
cbabbfbaababaaaaababd	1352965
cbabgabaababaaaaababd	1352965
cbagbabaababaaaaababd	1352965
cbfababaababaaaaababd	1352965
cgaababaababaaaaababd	1352965
cabaababaababaaaaababd	1352965
