"Input number 23642756440 with intial rewrite term cabbaaaaaabaabbabbbbbabababababbaaad
Generated final number 3416102741 with final rewrite term cbaababbbaabbbabbaababbbababababd
Number of steps: 766  Number of array doubles: 0"
Term	Number
cabbbbaaaebabaababbabbbbbbbabbd	1183472635
cabbbbaaeababaababbabbbbbbbabbd	1183472635
cabbbbaeaababaababbabbbbbbbabbd	1183472635
cabbbbeaaababaababbabbbbbbbabbd	1183472635
cabbbfbaaababaababbabbbbbbbabbd	1183472635
cabbgabaaababaababbabbbbbbbabbd	1183472635
cabgbabaaababaababbabbbbbbbabbd	1183472635
cagbbabaaababaababbabbbbbbbabbd	1183472635
cfabbabaaababaababbabbbbbbbabbd	1183472635
caaabbabaaababaababbabbbbbbbabbd	1183472635
caaabbabaaababaababbabbbbbbbfabd	1775208953
caaabbabaaababaababbabbbbbbgaabd	1775208953
caaabbabaaababaababbabbbbbgbaabd	1775208953
caaabbabaaababaababbabbbbgbbaabd	1775208953
caaabbabaaababaababbabbbgbbbaabd	1775208953
caaabbabaaababaababbabbgbbbbaabd	1775208953
caaabbabaaababaababbabgbbbbbaabd	1775208953
caaabbabaaababaababbagbbbbbbaabd	1775208953
caaabbabaaababaababbfabbbbbbaabd	1775208953
caaabbabaaababaababgaabbbbbbaabd	1775208953
caaabbabaaababaabagbaabbbbbbaabd	1775208953
caaabbabaaababaabfabaabbbbbbaabd	1775208953
caaabbabaaababaagaabaabbbbbbaabd	1775208953
caaabbabaaababafaaabaabbbbbbaabd	1775208953
caaabbabaaababebaaabaabbbbbbaabd	1775208953
caaabbabaaabafbbaaabaabbbbbbaabd	1775208953
caaabbabaaabebbbaaabaabbbbbbaabd	1775208953
caaabbabaaafbbbbaaabaabbbbbbaabd	1775208953
caaabbabaaebbbbbaaabaabbbbbbaabd	1775208953
caaabbabaeabbbbbaaabaabbbbbbaabd	1775208953
caaabbabeaabbbbbaaabaabbbbbbaabd	1775208953
caaabbafbaabbbbbaaabaabbbbbbaabd	1775208953
caaabbebbaabbbbbaaabaabbbbbbaabd	1775208953
caaabfbbbaabbbbbaaabaabbbbbbaabd	1775208953
caaagabbbaabbbbbaaabaabbbbbbaabd	1775208953
caafaabbbaabbbbbaaabaabbbbbbaabd	1775208953
caebaabbbaabbbbbaaabaabbbbbbaabd	1775208953
ceabaabbbaabbbbbaaabaabbbbbbaabd	1775208953
cbabaabbbaabbbbbaaabaabbbbbbaabd	1775208953
cbabaabbbaabbbbbaaabaabbbbbbebd	1331406715
cbabaabbbaabbbbbaaabaabbbbbfbbd	1331406715
cbabaabbbaabbbbbaaabaabbbbgabbd	1331406715
cbabaabbbaabbbbbaaabaabbbgbabbd	1331406715
cbabaabbbaabbbbbaaabaabbgbbabbd	1331406715
cbabaabbbaabbbbbaaabaabgbbbabbd	1331406715
cbabaabbbaabbbbbaaabaagbbbbabbd	1331406715
cbabaabbbaabbbbbaaabafabbbbabbd	1331406715
cbabaabbbaabbbbbaaabebabbbbabbd	1331406715
cbabaabbbaabbbbbaaafbbabbbbabbd	1331406715
cbabaabbbaabbbbbaaebbbabbbbabbd	1331406715
cbabaabbbaabbbbbaeabbbabbbbabbd	1331406715
cbabaabbbaabbbbbeaabbbabbbbabbd	1331406715
cbabaabbbaabbbbfbaabbbabbbbabbd	1331406715
cbabaabbbaabbbgabaabbbabbbbabbd	1331406715
cbabaabbbaabbgbabaabbbabbbbabbd	1331406715
cbabaabbbaabgbbabaabbbabbbbabbd	1331406715
cbabaabbbaagbbbabaabbbabbbbabbd	1331406715
cbabaabbbafabbbabaabbbabbbbabbd	1331406715
cbabaabbbebabbbabaabbbabbbbabbd	1331406715
cbabaabbfbbabbbabaabbbabbbbabbd	1331406715
cbabaabgabbabbbabaabbbabbbbabbd	1331406715
cbabaagbabbabbbabaabbbabbbbabbd	1331406715
cbabafababbabbbabaabbbabbbbabbd	1331406715
cbabebababbabbbabaabbbabbbbabbd	1331406715
cbafbbababbabbbabaabbbabbbbabbd	1331406715
cbebbbababbabbbabaabbbabbbbabbd	1331406715
cfbbbbababbabbbabaabbbabbbbabbd	1331406715
caabbbbababbabbbabaabbbabbbbabbd	1331406715
caabbbbababbabbbabaabbbabbbbfabd	1997110073
caabbbbababbabbbabaabbbabbbgaabd	1997110073
caabbbbababbabbbabaabbbabbgbaabd	1997110073
caabbbbababbabbbabaabbbabgbbaabd	1997110073
caabbbbababbabbbabaabbbagbbbaabd	1997110073
caabbbbababbabbbabaabbbfabbbaabd	1997110073
caabbbbababbabbbabaabbgaabbbaabd	1997110073
caabbbbababbabbbabaabgbaabbbaabd	1997110073
caabbbbababbabbbabaagbbaabbbaabd	1997110073
caabbbbababbabbbabafabbaabbbaabd	1997110073
caabbbbababbabbbabebabbaabbbaabd	1997110073
caabbbbababbabbbafbbabbaabbbaabd	1997110073
caabbbbababbabbbebbbabbaabbbaabd	1997110073
caabbbbababbabbfbbbbabbaabbbaabd	1997110073
caabbbbababbabgabbbbabbaabbbaabd	1997110073
caabbbbababbagbabbbbabbaabbbaabd	1997110073
caabbbbababbfababbbbabbaabbbaabd	1997110073
caabbbbababgaababbbbabbaabbbaabd	1997110073
caabbbbabagbaababbbbabbaabbbaabd	1997110073
caabbbbabfabaababbbbabbaabbbaabd	1997110073
caabbbbagaabaababbbbabbaabbbaabd	1997110073
caabbbbfaaabaababbbbabbaabbbaabd	1997110073
caabbbgaaaabaababbbbabbaabbbaabd	1997110073
caabbgbaaaabaababbbbabbaabbbaabd	1997110073
caabgbbaaaabaababbbbabbaabbbaabd	1997110073
caagbbbaaaabaababbbbabbaabbbaabd	1997110073
cafabbbaaaabaababbbbabbaabbbaabd	1997110073
cebabbbaaaabaababbbbabbaabbbaabd	1997110073
cbbabbbaaaabaababbbbabbaabbbaabd	1997110073
cbbabbbaaaabaababbbbabbaabbbebd	1497832555
cbbabbbaaaabaababbbbabbaabbfbbd	1497832555
cbbabbbaaaabaababbbbabbaabgabbd	1497832555
cbbabbbaaaabaababbbbabbaagbabbd	1497832555
cbbabbbaaaabaababbbbabbafababbd	1497832555
cbbabbbaaaabaababbbbabbebababbd	1497832555
cbbabbbaaaabaababbbbabfbbababbd	1497832555
cbbabbbaaaabaababbbbagabbababbd	1497832555
cbbabbbaaaabaababbbbfaabbababbd	1497832555
cbbabbbaaaabaababbbgaaabbababbd	1497832555
cbbabbbaaaabaababbgbaaabbababbd	1497832555
cbbabbbaaaabaababgbbaaabbababbd	1497832555
cbbabbbaaaabaabagbbbaaabbababbd	1497832555
cbbabbbaaaabaabfabbbaaabbababbd	1497832555
cbbabbbaaaabaagaabbbaaabbababbd	1497832555
cbbabbbaaaabafaaabbbaaabbababbd	1497832555
cbbabbbaaaabebaaabbbaaabbababbd	1497832555
cbbabbbaaaafbbaaabbbaaabbababbd	1497832555
cbbabbbaaaebbbaaabbbaaabbababbd	1497832555
cbbabbbaaeabbbaaabbbaaabbababbd	1497832555
cbbabbbaeaabbbaaabbbaaabbababbd	1497832555
cbbabbbeaaabbbaaabbbaaabbababbd	1497832555
cbbabbfbaaabbbaaabbbaaabbababbd	1497832555
cbbabgabaaabbbaaabbbaaabbababbd	1497832555
cbbagbabaaabbbaaabbbaaabbababbd	1497832555
cbbfababaaabbbaaabbbaaabbababbd	1497832555
cbgaababaaabbbaaabbbaaabbababbd	1497832555
cgbaababaaabbbaaabbbaaabbababbd	1497832555
cabbaababaaabbbaaabbbaaabbababbd	1497832555
cabbaababaaabbbaaabbbaaabbabfabd	2246748833
cabbaababaaabbbaaabbbaaabbagaabd	2246748833
cabbaababaaabbbaaabbbaaabbfaaabd	2246748833
cabbaababaaabbbaaabbbaaabgaaaabd	2246748833
cabbaababaaabbbaaabbbaaagbaaaabd	2246748833
cabbaababaaabbbaaabbbaafabaaaabd	2246748833
cabbaababaaabbbaaabbbaebabaaaabd	2246748833
cabbaababaaabbbaaabbbeababaaaabd	2246748833
cabbaababaaabbbaaabbfbababaaaabd	2246748833
cabbaababaaabbbaaabgabababaaaabd	2246748833
cabbaababaaabbbaaagbabababaaaabd	2246748833
cabbaababaaabbbaafababababaaaabd	2246748833
cabbaababaaabbbaebababababaaaabd	2246748833
cabbaababaaabbbeabababababaaaabd	2246748833
cabbaababaaabbfbabababababaaaabd	2246748833
cabbaababaaabgababababababaaaabd	2246748833
cabbaababaaagbababababababaaaabd	2246748833
cabbaababaafabababababababaaaabd	2246748833
cabbaababaebabababababababaaaabd	2246748833
cabbaababeababababababababaaaabd	2246748833
cabbaabafbababababababababaaaabd	2246748833
cabbaabebbababababababababaaaabd	2246748833
cabbaafbbbababababababababaaaabd	2246748833
cabbaebbbbababababababababaaaabd	2246748833
cabbeabbbbababababababababaaaabd	2246748833
cabfbabbbbababababababababaaaabd	2246748833
cagababbbbababababababababaaaabd	2246748833
cfaababbbbababababababababaaaabd	2246748833
caaaababbbbababababababababaaaabd	2246748833
caaaababbbbababababababababaaebd	1685061625
caaaababbbbababababababababaeabd	1685061625
caaaababbbbababababababababeaabd	1685061625
caaaababbbbabababababababafbaabd	1685061625
caaaababbbbabababababababebbaabd	1685061625
caaaababbbbababababababafbbbaabd	1685061625
caaaababbbbababababababebbbbaabd	1685061625
caaaababbbbabababababafbbbbbaabd	1685061625
caaaababbbbabababababebbbbbbaabd	1685061625
caaaababbbbababababafbbbbbbbaabd	1685061625
caaaababbbbababababebbbbbbbbaabd	1685061625
caaaababbbbabababafbbbbbbbbbaabd	1685061625
caaaababbbbabababebbbbbbbbbbaabd	1685061625
caaaababbbbababafbbbbbbbbbbbaabd	1685061625
caaaababbbbababebbbbbbbbbbbbaabd	1685061625
caaaababbbbabafbbbbbbbbbbbbbaabd	1685061625
caaaababbbbabebbbbbbbbbbbbbbaabd	1685061625
caaaababbbbafbbbbbbbbbbbbbbbaabd	1685061625
caaaababbbbebbbbbbbbbbbbbbbbaabd	1685061625
caaaababbbfbbbbbbbbbbbbbbbbbaabd	1685061625
caaaababbgabbbbbbbbbbbbbbbbbaabd	1685061625
caaaababgbabbbbbbbbbbbbbbbbbaabd	1685061625
caaaabagbbabbbbbbbbbbbbbbbbbaabd	1685061625
caaaabfabbabbbbbbbbbbbbbbbbbaabd	1685061625
caaaagaabbabbbbbbbbbbbbbbbbbaabd	1685061625
caaafaaabbabbbbbbbbbbbbbbbbbaabd	1685061625
caaebaaabbabbbbbbbbbbbbbbbbbaabd	1685061625
caeabaaabbabbbbbbbbbbbbbbbbbaabd	1685061625
ceaabaaabbabbbbbbbbbbbbbbbbbaabd	1685061625
cbaabaaabbabbbbbbbbbbbbbbbbbaabd	1685061625
cbaabaaabbabbbbbbbbbbbbbbbbbebd	1263796219
cbaabaaabbabbbbbbbbbbbbbbbbfbbd	1263796219
cbaabaaabbabbbbbbbbbbbbbbbgabbd	1263796219
cbaabaaabbabbbbbbbbbbbbbbgbabbd	1263796219
cbaabaaabbabbbbbbbbbbbbbgbbabbd	1263796219
cbaabaaabbabbbbbbbbbbbbgbbbabbd	1263796219
cbaabaaabbabbbbbbbbbbbgbbbbabbd	1263796219
cbaabaaabbabbbbbbbbbbgbbbbbabbd	1263796219
cbaabaaabbabbbbbbbbbgbbbbbbabbd	1263796219
cbaabaaabbabbbbbbbbgbbbbbbbabbd	1263796219
cbaabaaabbabbbbbbbgbbbbbbbbabbd	1263796219
cbaabaaabbabbbbbbgbbbbbbbbbabbd	1263796219
cbaabaaabbabbbbbgbbbbbbbbbbabbd	1263796219
cbaabaaabbabbbbgbbbbbbbbbbbabbd	1263796219
cbaabaaabbabbbgbbbbbbbbbbbbabbd	1263796219
cbaabaaabbabbgbbbbbbbbbbbbbabbd	1263796219
cbaabaaabbabgbbbbbbbbbbbbbbabbd	1263796219
cbaabaaabbagbbbbbbbbbbbbbbbabbd	1263796219
cbaabaaabbfabbbbbbbbbbbbbbbabbd	1263796219
cbaabaaabgaabbbbbbbbbbbbbbbabbd	1263796219
cbaabaaagbaabbbbbbbbbbbbbbbabbd	1263796219
cbaabaafabaabbbbbbbbbbbbbbbabbd	1263796219
cbaabaebabaabbbbbbbbbbbbbbbabbd	1263796219
cbaabeababaabbbbbbbbbbbbbbbabbd	1263796219
cbaafbababaabbbbbbbbbbbbbbbabbd	1263796219
cbaebbababaabbbbbbbbbbbbbbbabbd	1263796219
cbeabbababaabbbbbbbbbbbbbbbabbd	1263796219
cfbabbababaabbbbbbbbbbbbbbbabbd	1263796219
caababbababaabbbbbbbbbbbbbbbabbd	1263796219
caababbababaabbbbbbbbbbbbbbbfabd	1895694329
caababbababaabbbbbbbbbbbbbbgaabd	1895694329
caababbababaabbbbbbbbbbbbbgbaabd	1895694329
caababbababaabbbbbbbbbbbbgbbaabd	1895694329
caababbababaabbbbbbbbbbbgbbbaabd	1895694329
caababbababaabbbbbbbbbbgbbbbaabd	1895694329
caababbababaabbbbbbbbbgbbbbbaabd	1895694329
caababbababaabbbbbbbbgbbbbbbaabd	1895694329
caababbababaabbbbbbbgbbbbbbbaabd	1895694329
caababbababaabbbbbbgbbbbbbbbaabd	1895694329
caababbababaabbbbbgbbbbbbbbbaabd	1895694329
caababbababaabbbbgbbbbbbbbbbaabd	1895694329
caababbababaabbbgbbbbbbbbbbbaabd	1895694329
caababbababaabbgbbbbbbbbbbbbaabd	1895694329
caababbababaabgbbbbbbbbbbbbbaabd	1895694329
caababbababaagbbbbbbbbbbbbbbaabd	1895694329
caababbababafabbbbbbbbbbbbbbaabd	1895694329
caababbababebabbbbbbbbbbbbbbaabd	1895694329
