"Input number 782053216 with intial rewrite term cabbbabaabbbabaababbbbabbaaaaad
Generated final number 22320517 with final rewrite term cabababaabaabababbaaaababd
Number of steps: 506  Number of array doubles: 0"
Term	Number
cabbbbaabbbbbbbbbbbbbfabd	18579449
cabbbbaabbbbbbbbbbbbgaabd	18579449
cabbbbaabbbbbbbbbbbgbaabd	18579449
cabbbbaabbbbbbbbbbgbbaabd	18579449
cabbbbaabbbbbbbbbgbbbaabd	18579449
cabbbbaabbbbbbbbgbbbbaabd	18579449
cabbbbaabbbbbbbgbbbbbaabd	18579449
cabbbbaabbbbbbgbbbbbbaabd	18579449
cabbbbaabbbbbgbbbbbbbaabd	18579449
cabbbbaabbbbgbbbbbbbbaabd	18579449
cabbbbaabbbgbbbbbbbbbaabd	18579449
cabbbbaabbgbbbbbbbbbbaabd	18579449
cabbbbaabgbbbbbbbbbbbaabd	18579449
cabbbbaagbbbbbbbbbbbbaabd	18579449
cabbbbafabbbbbbbbbbbbaabd	18579449
cabbbbebabbbbbbbbbbbbaabd	18579449
cabbbfbbabbbbbbbbbbbbaabd	18579449
cabbgabbabbbbbbbbbbbbaabd	18579449
cabgbabbabbbbbbbbbbbbaabd	18579449
cagbbabbabbbbbbbbbbbbaabd	18579449
cfabbabbabbbbbbbbbbbbaabd	18579449
caaabbabbabbbbbbbbbbbbaabd	18579449
caaabbabbabbbbbbbbbbbbebd	13934587
caaabbabbabbbbbbbbbbbfbbd	13934587
caaabbabbabbbbbbbbbbgabbd	13934587
caaabbabbabbbbbbbbbgbabbd	13934587
caaabbabbabbbbbbbbgbbabbd	13934587
caaabbabbabbbbbbbgbbbabbd	13934587
caaabbabbabbbbbbgbbbbabbd	13934587
caaabbabbabbbbbgbbbbbabbd	13934587
caaabbabbabbbbgbbbbbbabbd	13934587
caaabbabbabbbgbbbbbbbabbd	13934587
caaabbabbabbgbbbbbbbbabbd	13934587
caaabbabbabgbbbbbbbbbabbd	13934587
caaabbabbagbbbbbbbbbbabbd	13934587
caaabbabbfabbbbbbbbbbabbd	13934587
caaabbabgaabbbbbbbbbbabbd	13934587
caaabbagbaabbbbbbbbbbabbd	13934587
caaabbfabaabbbbbbbbbbabbd	13934587
caaabgaabaabbbbbbbbbbabbd	13934587
caaagbaabaabbbbbbbbbbabbd	13934587
caafabaabaabbbbbbbbbbabbd	13934587
caebabaabaabbbbbbbbbbabbd	13934587
ceababaabaabbbbbbbbbbabbd	13934587
cbababaabaabbbbbbbbbbabbd	13934587
cbababaabaabbbbbbbbbbfabd	20901881
cbababaabaabbbbbbbbbgaabd	20901881
cbababaabaabbbbbbbbgbaabd	20901881
cbababaabaabbbbbbbgbbaabd	20901881
cbababaabaabbbbbbgbbbaabd	20901881
cbababaabaabbbbbgbbbbaabd	20901881
cbababaabaabbbbgbbbbbaabd	20901881
cbababaabaabbbgbbbbbbaabd	20901881
cbababaabaabbgbbbbbbbaabd	20901881
cbababaabaabgbbbbbbbbaabd	20901881
cbababaabaagbbbbbbbbbaabd	20901881
cbababaabafabbbbbbbbbaabd	20901881
cbababaabebabbbbbbbbbaabd	20901881
cbababaafbbabbbbbbbbbaabd	20901881
cbababaebbbabbbbbbbbbaabd	20901881
cbababeabbbabbbbbbbbbaabd	20901881
cbabafbabbbabbbbbbbbbaabd	20901881
cbabebbabbbabbbbbbbbbaabd	20901881
cbafbbbabbbabbbbbbbbbaabd	20901881
cbebbbbabbbabbbbbbbbbaabd	20901881
cfbbbbbabbbabbbbbbbbbaabd	20901881
caabbbbbabbbabbbbbbbbbaabd	20901881
caabbbbbabbbabbbbbbbbbebd	15676411
caabbbbbabbbabbbbbbbbfbbd	15676411
caabbbbbabbbabbbbbbbgabbd	15676411
caabbbbbabbbabbbbbbgbabbd	15676411
caabbbbbabbbabbbbbgbbabbd	15676411
caabbbbbabbbabbbbgbbbabbd	15676411
caabbbbbabbbabbbgbbbbabbd	15676411
caabbbbbabbbabbgbbbbbabbd	15676411
caabbbbbabbbabgbbbbbbabbd	15676411
caabbbbbabbbagbbbbbbbabbd	15676411
