"Input number 625584772 with intial rewrite term caabababaabaabbababababaaaabaad
Generated final number 80346413 with final rewrite term caabbaabaabbbbbbbabaababbabd
Number of steps: 606  Number of array doubles: 0"
Term	Number
cbbbbbbbaabaaeaaabbbbbbaabd	100319737
cbbbbbbbaabaeaaaabbbbbbaabd	100319737
cbbbbbbbaabeaaaaabbbbbbaabd	100319737
cbbbbbbbaafbaaaaabbbbbbaabd	100319737
cbbbbbbbaebbaaaaabbbbbbaabd	100319737
cbbbbbbbeabbaaaaabbbbbbaabd	100319737
cbbbbbbfbabbaaaaabbbbbbaabd	100319737
cbbbbbgababbaaaaabbbbbbaabd	100319737
cbbbbgbababbaaaaabbbbbbaabd	100319737
cbbbgbbababbaaaaabbbbbbaabd	100319737
cbbgbbbababbaaaaabbbbbbaabd	100319737
cbgbbbbababbaaaaabbbbbbaabd	100319737
cgbbbbbababbaaaaabbbbbbaabd	100319737
cabbbbbbababbaaaaabbbbbbaabd	100319737
cabbbbbbababbaaaaabbbbbbebd	75239803
cabbbbbbababbaaaaabbbbbfbbd	75239803
cabbbbbbababbaaaaabbbbgabbd	75239803
cabbbbbbababbaaaaabbbgbabbd	75239803
cabbbbbbababbaaaaabbgbbabbd	75239803
cabbbbbbababbaaaaabgbbbabbd	75239803
cabbbbbbababbaaaaagbbbbabbd	75239803
cabbbbbbababbaaaafabbbbabbd	75239803
cabbbbbbababbaaaebabbbbabbd	75239803
cabbbbbbababbaaeababbbbabbd	75239803
cabbbbbbababbaeaababbbbabbd	75239803
cabbbbbbababbeaaababbbbabbd	75239803
cabbbbbbababfbaaababbbbabbd	75239803
cabbbbbbabagabaaababbbbabbd	75239803
cabbbbbbabfaabaaababbbbabbd	75239803
cabbbbbbagaaabaaababbbbabbd	75239803
cabbbbbbfaaaabaaababbbbabbd	75239803
cabbbbbgaaaaabaaababbbbabbd	75239803
cabbbbgbaaaaabaaababbbbabbd	75239803
cabbbgbbaaaaabaaababbbbabbd	75239803
cabbgbbbaaaaabaaababbbbabbd	75239803
cabgbbbbaaaaabaaababbbbabbd	75239803
cagbbbbbaaaaabaaababbbbabbd	75239803
cfabbbbbaaaaabaaababbbbabbd	75239803
caaabbbbbaaaaabaaababbbbabbd	75239803
caaabbbbbaaaaabaaababbbbfabd	112859705
caaabbbbbaaaaabaaababbbgaabd	112859705
caaabbbbbaaaaabaaababbgbaabd	112859705
caaabbbbbaaaaabaaababgbbaabd	112859705
caaabbbbbaaaaabaaabagbbbaabd	112859705
caaabbbbbaaaaabaaabfabbbaabd	112859705
caaabbbbbaaaaabaaagaabbbaabd	112859705
caaabbbbbaaaaabaafaaabbbaabd	112859705
caaabbbbbaaaaabaebaaabbbaabd	112859705
caaabbbbbaaaaabeabaaabbbaabd	112859705
caaabbbbbaaaaafbabaaabbbaabd	112859705
caaabbbbbaaaaebbabaaabbbaabd	112859705
caaabbbbbaaaeabbabaaabbbaabd	112859705
caaabbbbbaaeaabbabaaabbbaabd	112859705
caaabbbbbaeaaabbabaaabbbaabd	112859705
caaabbbbbeaaaabbabaaabbbaabd	112859705
caaabbbbfbaaaabbabaaabbbaabd	112859705
caaabbbgabaaaabbabaaabbbaabd	112859705
caaabbgbabaaaabbabaaabbbaabd	112859705
caaabgbbabaaaabbabaaabbbaabd	112859705
caaagbbbabaaaabbabaaabbbaabd	112859705
caafabbbabaaaabbabaaabbbaabd	112859705
caebabbbabaaaabbabaaabbbaabd	112859705
ceababbbabaaaabbabaaabbbaabd	112859705
cbababbbabaaaabbabaaabbbaabd	112859705
cbababbbabaaaabbabaaabbbebd	84644779
cbababbbabaaaabbabaaabbfbbd	84644779
cbababbbabaaaabbabaaabgabbd	84644779
cbababbbabaaaabbabaaagbabbd	84644779
cbababbbabaaaabbabaafababbd	84644779
cbababbbabaaaabbabaebababbd	84644779
cbababbbabaaaabbabeabababbd	84644779
cbababbbabaaaabbafbabababbd	84644779
cbababbbabaaaabbebbabababbd	84644779
cbababbbabaaaabfbbbabababbd	84644779
cbababbbabaaaagabbbabababbd	84644779
cbababbbabaaafaabbbabababbd	84644779
cbababbbabaaebaabbbabababbd	84644779
cbababbbabaeabaabbbabababbd	84644779
cbababbbabeaabaabbbabababbd	84644779
cbababbbafbaabaabbbabababbd	84644779
cbababbbebbaabaabbbabababbd	84644779
cbababbfbbbaabaabbbabababbd	84644779
cbababgabbbaabaabbbabababbd	84644779
cbabagbabbbaabaabbbabababbd	84644779
cbabfababbbaabaabbbabababbd	84644779
cbagaababbbaabaabbbabababbd	84644779
cbfaaababbbaabaabbbabababbd	84644779
cgaaaababbbaabaabbbabababbd	84644779
cabaaaababbbaabaabbbabababbd	84644779
cabaaaababbbaabaabbbababfabd	126967169
cabaaaababbbaabaabbbabagaabd	126967169
cabaaaababbbaabaabbbabfaaabd	126967169
cabaaaababbbaabaabbbagaaaabd	126967169
cabaaaababbbaabaabbbfaaaaabd	126967169
cabaaaababbbaabaabbgaaaaaabd	126967169
cabaaaababbbaabaabgbaaaaaabd	126967169
cabaaaababbbaabaagbbaaaaaabd	126967169
cabaaaababbbaabafabbaaaaaabd	126967169
cabaaaababbbaabebabbaaaaaabd	126967169
cabaaaababbbaafbbabbaaaaaabd	126967169
cabaaaababbbaebbbabbaaaaaabd	126967169
cabaaaababbbeabbbabbaaaaaabd	126967169
cabaaaababbfbabbbabbaaaaaabd	126967169
cabaaaababgababbbabbaaaaaabd	126967169
cabaaaabagbababbbabbaaaaaabd	126967169
cabaaaabfabababbbabbaaaaaabd	126967169
cabaaaagaabababbbabbaaaaaabd	126967169
cabaaafaaabababbbabbaaaaaabd	126967169
cabaaebaaabababbbabbaaaaaabd	126967169
cabaeabaaabababbbabbaaaaaabd	126967169
cabeaabaaabababbbabbaaaaaabd	126967169
cafbaabaaabababbbabbaaaaaabd	126967169
cebbaabaaabababbbabbaaaaaabd	126967169
cbbbaabaaabababbbabbaaaaaabd	126967169
cbbbaabaaabababbbabbaaaaebd	95225377
cbbbaabaaabababbbabbaaaeabd	95225377
cbbbaabaaabababbbabbaaeaabd	95225377
cbbbaabaaabababbbabbaeaaabd	95225377
cbbbaabaaabababbbabbeaaaabd	95225377
cbbbaabaaabababbbabfbaaaabd	95225377
cbbbaabaaabababbbagabaaaabd	95225377
cbbbaabaaabababbbfaabaaaabd	95225377
cbbbaabaaabababbgaaabaaaabd	95225377
cbbbaabaaabababgbaaabaaaabd	95225377
cbbbaabaaababagbbaaabaaaabd	95225377
cbbbaabaaababfabbaaabaaaabd	95225377
cbbbaabaaabagaabbaaabaaaabd	95225377
cbbbaabaaabfaaabbaaabaaaabd	95225377
cbbbaabaaagaaaabbaaabaaaabd	95225377
cbbbaabaafaaaaabbaaabaaaabd	95225377
cbbbaabaebaaaaabbaaabaaaabd	95225377
cbbbaabeabaaaaabbaaabaaaabd	95225377
cbbbaafbabaaaaabbaaabaaaabd	95225377
cbbbaebbabaaaaabbaaabaaaabd	95225377
cbbbeabbabaaaaabbaaabaaaabd	95225377
cbbfbabbabaaaaabbaaabaaaabd	95225377
cbgababbabaaaaabbaaabaaaabd	95225377
cgbababbabaaaaabbaaabaaaabd	95225377
cabbababbabaaaaabbaaabaaaabd	95225377
cabbababbabaaaaabbaaabaaebd	71419033
cabbababbabaaaaabbaaabaeabd	71419033
cabbababbabaaaaabbaaabeaabd	71419033
cabbababbabaaaaabbaaafbaabd	71419033
cabbababbabaaaaabbaaebbaabd	71419033
cabbababbabaaaaabbaeabbaabd	71419033
cabbababbabaaaaabbeaabbaabd	71419033
cabbababbabaaaaabfbaabbaabd	71419033
cabbababbabaaaaagabaabbaabd	71419033
cabbababbabaaaafaabaabbaabd	71419033
cabbababbabaaaebaabaabbaabd	71419033
cabbababbabaaeabaabaabbaabd	71419033
cabbababbabaeaabaabaabbaabd	71419033
cabbababbabeaaabaabaabbaabd	71419033
cabbababbafbaaabaabaabbaabd	71419033
