"Input number 7451656 with intial rewrite term cbbaaabbabbabaaaaaabaaad
Generated final number 496695277 with final rewrite term cbbabbaabbababbbbabbbbbbabbabd
Number of steps: 905  Number of array doubles: 0"
Term	Number
cbaaaabaabbbbbfbaabbbbbad	19119422
cbaaaabaabbbbgabaabbbbbad	19119422
cbaaaabaabbbgbabaabbbbbad	19119422
cbaaaabaabbgbbabaabbbbbad	19119422
cbaaaabaabgbbbabaabbbbbad	19119422
cbaaaabaagbbbbabaabbbbbad	19119422
cbaaaabafabbbbabaabbbbbad	19119422
cbaaaabebabbbbabaabbbbbad	19119422
cbaaaafbbabbbbabaabbbbbad	19119422
cbaaaebbbabbbbabaabbbbbad	19119422
cbaaeabbbabbbbabaabbbbbad	19119422
cbaeaabbbabbbbabaabbbbbad	19119422
cbeaaabbbabbbbabaabbbbbad	19119422
cfbaaabbbabbbbabaabbbbbad	19119422
caabaaabbbabbbbabaabbbbbad	19119422
caabaaabbbabbbbabaabbbbbd	9559711
caabaaabbbabbbbabaabbbbgd	14339567
caabaaabbbabbbbabaabbbgbd	14339567
caabaaabbbabbbbabaabbgbbd	14339567
caabaaabbbabbbbabaabgbbbd	14339567
caabaaabbbabbbbabaagbbbbd	14339567
caabaaabbbabbbbabafabbbbd	14339567
caabaaabbbabbbbabebabbbbd	14339567
caabaaabbbabbbbafbbabbbbd	14339567
caabaaabbbabbbbebbbabbbbd	14339567
caabaaabbbabbbfbbbbabbbbd	14339567
caabaaabbbabbgabbbbabbbbd	14339567
caabaaabbbabgbabbbbabbbbd	14339567
caabaaabbbagbbabbbbabbbbd	14339567
caabaaabbbfabbabbbbabbbbd	14339567
caabaaabbgaabbabbbbabbbbd	14339567
caabaaabgbaabbabbbbabbbbd	14339567
caabaaagbbaabbabbbbabbbbd	14339567
caabaafabbaabbabbbbabbbbd	14339567
caabaebabbaabbabbbbabbbbd	14339567
caabeababbaabbabbbbabbbbd	14339567
caafbababbaabbabbbbabbbbd	14339567
caebbababbaabbabbbbabbbbd	14339567
ceabbababbaabbabbbbabbbbd	14339567
cbabbababbaabbabbbbabbbbd	14339567
cbabbababbaabbabbbbabbbgd	21509351
cbabbababbaabbabbbbabbgbd	21509351
cbabbababbaabbabbbbabgbbd	21509351
cbabbababbaabbabbbbagbbbd	21509351
cbabbababbaabbabbbbfabbbd	21509351
cbabbababbaabbabbbgaabbbd	21509351
cbabbababbaabbabbgbaabbbd	21509351
cbabbababbaabbabgbbaabbbd	21509351
cbabbababbaabbagbbbaabbbd	21509351
cbabbababbaabbfabbbaabbbd	21509351
cbabbababbaabgaabbbaabbbd	21509351
cbabbababbaagbaabbbaabbbd	21509351
cbabbababbafabaabbbaabbbd	21509351
cbabbababbebabaabbbaabbbd	21509351
cbabbababfbbabaabbbaabbbd	21509351
cbabbabagabbabaabbbaabbbd	21509351
cbabbabfaabbabaabbbaabbbd	21509351
cbabbagaaabbabaabbbaabbbd	21509351
cbabbfaaaabbabaabbbaabbbd	21509351
cbabgaaaaabbabaabbbaabbbd	21509351
cbagbaaaaabbabaabbbaabbbd	21509351
cbfabaaaaabbabaabbbaabbbd	21509351
cgaabaaaaabbabaabbbaabbbd	21509351
cabaabaaaaabbabaabbbaabbbd	21509351
cabaabaaaaabbabaabbbaabbgd	32264027
cabaabaaaaabbabaabbbaabgbd	32264027
cabaabaaaaabbabaabbbaagbbd	32264027
cabaabaaaaabbabaabbbafabbd	32264027
cabaabaaaaabbabaabbbebabbd	32264027
cabaabaaaaabbabaabbfbbabbd	32264027
cabaabaaaaabbabaabgabbabbd	32264027
cabaabaaaaabbabaagbabbabbd	32264027
cabaabaaaaabbabafababbabbd	32264027
cabaabaaaaabbabebababbabbd	32264027
cabaabaaaaabbafbbababbabbd	32264027
cabaabaaaaabbebbbababbabbd	32264027
cabaabaaaaabfbbbbababbabbd	32264027
cabaabaaaaagabbbbababbabbd	32264027
cabaabaaaafaabbbbababbabbd	32264027
cabaabaaaebaabbbbababbabbd	32264027
cabaabaaeabaabbbbababbabbd	32264027
cabaabaeaabaabbbbababbabbd	32264027
cabaabeaaabaabbbbababbabbd	32264027
cabaafbaaabaabbbbababbabbd	32264027
cabaebbaaabaabbbbababbabbd	32264027
cabeabbaaabaabbbbababbabbd	32264027
cafbabbaaabaabbbbababbabbd	32264027
cebbabbaaabaabbbbababbabbd	32264027
cbbbabbaaabaabbbbababbabbd	32264027
cbbbabbaaabaabbbbababbabgd	48396041
cbbbabbaaabaabbbbababbagbd	48396041
cbbbabbaaabaabbbbababbfabd	48396041
cbbbabbaaabaabbbbababgaabd	48396041
cbbbabbaaabaabbbbabagbaabd	48396041
cbbbabbaaabaabbbbabfabaabd	48396041
cbbbabbaaabaabbbbagaabaabd	48396041
cbbbabbaaabaabbbbfaaabaabd	48396041
cbbbabbaaabaabbbgaaaabaabd	48396041
cbbbabbaaabaabbgbaaaabaabd	48396041
cbbbabbaaabaabgbbaaaabaabd	48396041
cbbbabbaaabaagbbbaaaabaabd	48396041
cbbbabbaaabafabbbaaaabaabd	48396041
cbbbabbaaabebabbbaaaabaabd	48396041
cbbbabbaaafbbabbbaaaabaabd	48396041
cbbbabbaaebbbabbbaaaabaabd	48396041
cbbbabbaeabbbabbbaaaabaabd	48396041
cbbbabbeaabbbabbbaaaabaabd	48396041
cbbbabfbaabbbabbbaaaabaabd	48396041
cbbbagabaabbbabbbaaaabaabd	48396041
cbbbfaabaabbbabbbaaaabaabd	48396041
cbbgaaabaabbbabbbaaaabaabd	48396041
cbgbaaabaabbbabbbaaaabaabd	48396041
cgbbaaabaabbbabbbaaaabaabd	48396041
cabbbaaabaabbbabbbaaaabaabd	48396041
cabbbaaabaabbbabbbaaaabaagd	72594062
cabbbaaabaabbbabbbaaaabafad	72594062
cabbbaaabaabbbabbbaaaabebad	72594062
cabbbaaabaabbbabbbaaaafbbad	72594062
cabbbaaabaabbbabbbaaaebbbad	72594062
cabbbaaabaabbbabbbaaeabbbad	72594062
cabbbaaabaabbbabbbaeaabbbad	72594062
cabbbaaabaabbbabbbeaaabbbad	72594062
cabbbaaabaabbbabbfbaaabbbad	72594062
cabbbaaabaabbbabgabaaabbbad	72594062
cabbbaaabaabbbagbabaaabbbad	72594062
cabbbaaabaabbbfababaaabbbad	72594062
cabbbaaabaabbgaababaaabbbad	72594062
cabbbaaabaabgbaababaaabbbad	72594062
cabbbaaabaagbbaababaaabbbad	72594062
cabbbaaabafabbaababaaabbbad	72594062
cabbbaaabebabbaababaaabbbad	72594062
cabbbaaafbbabbaababaaabbbad	72594062
cabbbaaebbbabbaababaaabbbad	72594062
cabbbaeabbbabbaababaaabbbad	72594062
cabbbeaabbbabbaababaaabbbad	72594062
cabbfbaabbbabbaababaaabbbad	72594062
cabgabaabbbabbaababaaabbbad	72594062
cagbabaabbbabbaababaaabbbad	72594062
cfababaabbbabbaababaaabbbad	72594062
caaababaabbbabbaababaaabbbad	72594062
caaababaabbbabbaababaaabbbd	36297031
caaababaabbbabbaababaaabbgd	54445547
caaababaabbbabbaababaaabgbd	54445547
caaababaabbbabbaababaaagbbd	54445547
caaababaabbbabbaababaafabbd	54445547
caaababaabbbabbaababaebabbd	54445547
caaababaabbbabbaababeababbd	54445547
caaababaabbbabbaabafbababbd	54445547
caaababaabbbabbaabebbababbd	54445547
caaababaabbbabbaafbbbababbd	54445547
caaababaabbbabbaebbbbababbd	54445547
caaababaabbbabbeabbbbababbd	54445547
caaababaabbbabfbabbbbababbd	54445547
caaababaabbbagababbbbababbd	54445547
