"Input number 95734 with intial rewrite term cabbbababbbbbabbad
Generated final number 40337621 with final rewrite term caabbaabbbbaaaaaaabbabababd
Number of steps: 646  Number of array doubles: 0"
Term	Number
cbaaaaaaaabaaaafaaabaabd	9443465
cbaaaaaaaabaaaebaaabaabd	9443465
cbaaaaaaaabaaeabaaabaabd	9443465
cbaaaaaaaabaeaabaaabaabd	9443465
cbaaaaaaaabeaaabaaabaabd	9443465
cbaaaaaaaafbaaabaaabaabd	9443465
cbaaaaaaaebbaaabaaabaabd	9443465
cbaaaaaaeabbaaabaaabaabd	9443465
cbaaaaaeaabbaaabaaabaabd	9443465
cbaaaaeaaabbaaabaaabaabd	9443465
cbaaaeaaaabbaaabaaabaabd	9443465
cbaaeaaaaabbaaabaaabaabd	9443465
cbaeaaaaaabbaaabaaabaabd	9443465
cbeaaaaaaabbaaabaaabaabd	9443465
cfbaaaaaaabbaaabaaabaabd	9443465
caabaaaaaaabbaaabaaabaabd	9443465
caabaaaaaaabbaaabaaabaagd	14165198
caabaaaaaaabbaaabaaabafad	14165198
caabaaaaaaabbaaabaaabebad	14165198
caabaaaaaaabbaaabaaafbbad	14165198
caabaaaaaaabbaaabaaebbbad	14165198
caabaaaaaaabbaaabaeabbbad	14165198
caabaaaaaaabbaaabeaabbbad	14165198
caabaaaaaaabbaaafbaabbbad	14165198
caabaaaaaaabbaaebbaabbbad	14165198
caabaaaaaaabbaeabbaabbbad	14165198
caabaaaaaaabbeaabbaabbbad	14165198
caabaaaaaaabfbaabbaabbbad	14165198
caabaaaaaaagabaabbaabbbad	14165198
caabaaaaaafaabaabbaabbbad	14165198
caabaaaaaebaabaabbaabbbad	14165198
caabaaaaeabaabaabbaabbbad	14165198
caabaaaeaabaabaabbaabbbad	14165198
caabaaeaaabaabaabbaabbbad	14165198
caabaeaaaabaabaabbaabbbad	14165198
caabeaaaaabaabaabbaabbbad	14165198
caafbaaaaabaabaabbaabbbad	14165198
caebbaaaaabaabaabbaabbbad	14165198
ceabbaaaaabaabaabbaabbbad	14165198
cbabbaaaaabaabaabbaabbbad	14165198
cbabbaaaaabaabaabbaabbbd	7082599
cbabbaaaaabaabaabbaabbgd	10623899
cbabbaaaaabaabaabbaabgbd	10623899
cbabbaaaaabaabaabbaagbbd	10623899
cbabbaaaaabaabaabbafabbd	10623899
cbabbaaaaabaabaabbebabbd	10623899
cbabbaaaaabaabaabfbbabbd	10623899
cbabbaaaaabaabaagabbabbd	10623899
cbabbaaaaabaabafaabbabbd	10623899
cbabbaaaaabaabebaabbabbd	10623899
cbabbaaaaabaafbbaabbabbd	10623899
cbabbaaaaabaebbbaabbabbd	10623899
cbabbaaaaabeabbbaabbabbd	10623899
cbabbaaaaafbabbbaabbabbd	10623899
cbabbaaaaebbabbbaabbabbd	10623899
cbabbaaaeabbabbbaabbabbd	10623899
cbabbaaeaabbabbbaabbabbd	10623899
cbabbaeaaabbabbbaabbabbd	10623899
cbabbeaaaabbabbbaabbabbd	10623899
cbabfbaaaabbabbbaabbabbd	10623899
cbagabaaaabbabbbaabbabbd	10623899
cbfaabaaaabbabbbaabbabbd	10623899
cgaaabaaaabbabbbaabbabbd	10623899
cabaaabaaaabbabbbaabbabbd	10623899
cabaaabaaaabbabbbaabbabgd	15935849
cabaaabaaaabbabbbaabbagbd	15935849
cabaaabaaaabbabbbaabbfabd	15935849
cabaaabaaaabbabbbaabgaabd	15935849
cabaaabaaaabbabbbaagbaabd	15935849
cabaaabaaaabbabbbafabaabd	15935849
cabaaabaaaabbabbbebabaabd	15935849
cabaaabaaaabbabbfbbabaabd	15935849
cabaaabaaaabbabgabbabaabd	15935849
cabaaabaaaabbagbabbabaabd	15935849
cabaaabaaaabbfababbabaabd	15935849
cabaaabaaaabgaababbabaabd	15935849
cabaaabaaaagbaababbabaabd	15935849
cabaaabaaafabaababbabaabd	15935849
cabaaabaaebabaababbabaabd	15935849
cabaaabaeababaababbabaabd	15935849
