"Input number 1671382 with intial rewrite term cbaabbaaaaaaabbababbad
Generated final number 41777693 with final rewrite term caabbbbbababbbbabaaaabbbabd
Number of steps: 850  Number of array doubles: 0"
Term	Number
caaaabaabababaaebabaaaabd	13040801
caaaabaabababaeababaaaabd	13040801
caaaabaabababeaababaaaabd	13040801
caaaabaababafbaababaaaabd	13040801
caaaabaababebbaababaaaabd	13040801
caaaabaabafbbbaababaaaabd	13040801
caaaabaabebbbbaababaaaabd	13040801
caaaabaafbbbbbaababaaaabd	13040801
caaaabaebbbbbbaababaaaabd	13040801
caaaabeabbbbbbaababaaaabd	13040801
caaaafbabbbbbbaababaaaabd	13040801
caaaebbabbbbbbaababaaaabd	13040801
caaeabbabbbbbbaababaaaabd	13040801
caeaabbabbbbbbaababaaaabd	13040801
ceaaabbabbbbbbaababaaaabd	13040801
cbaaabbabbbbbbaababaaaabd	13040801
cbaaabbabbbbbbaababaaaagd	19561202
cbaaabbabbbbbbaababaaafad	19561202
cbaaabbabbbbbbaababaaebad	19561202
cbaaabbabbbbbbaababaeabad	19561202
cbaaabbabbbbbbaababeaabad	19561202
cbaaabbabbbbbbaabafbaabad	19561202
cbaaabbabbbbbbaabebbaabad	19561202
cbaaabbabbbbbbaafbbbaabad	19561202
cbaaabbabbbbbbaebbbbaabad	19561202
cbaaabbabbbbbbeabbbbaabad	19561202
cbaaabbabbbbbfbabbbbaabad	19561202
cbaaabbabbbbgababbbbaabad	19561202
cbaaabbabbbgbababbbbaabad	19561202
cbaaabbabbgbbababbbbaabad	19561202
cbaaabbabgbbbababbbbaabad	19561202
cbaaabbagbbbbababbbbaabad	19561202
cbaaabbfabbbbababbbbaabad	19561202
cbaaabgaabbbbababbbbaabad	19561202
cbaaagbaabbbbababbbbaabad	19561202
cbaafabaabbbbababbbbaabad	19561202
cbaebabaabbbbababbbbaabad	19561202
cbeababaabbbbababbbbaabad	19561202
cfbababaabbbbababbbbaabad	19561202
caabababaabbbbababbbbaabad	19561202
caabababaabbbbababbbbaabd	9780601
caabababaabbbbababbbbaagd	14670902
caabababaabbbbababbbbafad	14670902
caabababaabbbbababbbbebad	14670902
caabababaabbbbababbbfbbad	14670902
caabababaabbbbababbgabbad	14670902
caabababaabbbbababgbabbad	14670902
caabababaabbbbabagbbabbad	14670902
caabababaabbbbabfabbabbad	14670902
caabababaabbbbagaabbabbad	14670902
caabababaabbbbfaaabbabbad	14670902
caabababaabbbgaaaabbabbad	14670902
caabababaabbgbaaaabbabbad	14670902
caabababaabgbbaaaabbabbad	14670902
caabababaagbbbaaaabbabbad	14670902
caabababafabbbaaaabbabbad	14670902
caabababebabbbaaaabbabbad	14670902
caababafbbabbbaaaabbabbad	14670902
caababebbbabbbaaaabbabbad	14670902
caabafbbbbabbbaaaabbabbad	14670902
caabebbbbbabbbaaaabbabbad	14670902
caafbbbbbbabbbaaaabbabbad	14670902
caebbbbbbbabbbaaaabbabbad	14670902
ceabbbbbbbabbbaaaabbabbad	14670902
cbabbbbbbbabbbaaaabbabbad	14670902
cbabbbbbbbabbbaaaabbabbd	7335451
cbabbbbbbbabbbaaaabbabgd	11003177
cbabbbbbbbabbbaaaabbagbd	11003177
cbabbbbbbbabbbaaaabbfabd	11003177
cbabbbbbbbabbbaaaabgaabd	11003177
cbabbbbbbbabbbaaaagbaabd	11003177
cbabbbbbbbabbbaaafabaabd	11003177
cbabbbbbbbabbbaaebabaabd	11003177
cbabbbbbbbabbbaeababaabd	11003177
cbabbbbbbbabbbeaababaabd	11003177
cbabbbbbbbabbfbaababaabd	11003177
cbabbbbbbbabgabaababaabd	11003177
cbabbbbbbbagbabaababaabd	11003177
cbabbbbbbbfababaababaabd	11003177
cbabbbbbbgaababaababaabd	11003177
cbabbbbbgbaababaababaabd	11003177
cbabbbbgbbaababaababaabd	11003177
cbabbbgbbbaababaababaabd	11003177
cbabbgbbbbaababaababaabd	11003177
cbabgbbbbbaababaababaabd	11003177
cbagbbbbbbaababaababaabd	11003177
cbfabbbbbbaababaababaabd	11003177
cgaabbbbbbaababaababaabd	11003177
cabaabbbbbbaababaababaabd	11003177
cabaabbbbbbaababaababaagd	16504766
cabaabbbbbbaababaababafad	16504766
cabaabbbbbbaababaababebad	16504766
cabaabbbbbbaababaabafbbad	16504766
cabaabbbbbbaababaabebbbad	16504766
cabaabbbbbbaababaafbbbbad	16504766
cabaabbbbbbaababaebbbbbad	16504766
cabaabbbbbbaababeabbbbbad	16504766
cabaabbbbbbaabafbabbbbbad	16504766
cabaabbbbbbaabebbabbbbbad	16504766
cabaabbbbbbaafbbbabbbbbad	16504766
cabaabbbbbbaebbbbabbbbbad	16504766
cabaabbbbbbeabbbbabbbbbad	16504766
cabaabbbbbfbabbbbabbbbbad	16504766
cabaabbbbgababbbbabbbbbad	16504766
cabaabbbgbababbbbabbbbbad	16504766
cabaabbgbbababbbbabbbbbad	16504766
cabaabgbbbababbbbabbbbbad	16504766
cabaagbbbbababbbbabbbbbad	16504766
cabafabbbbababbbbabbbbbad	16504766
cabebabbbbababbbbabbbbbad	16504766
cafbbabbbbababbbbabbbbbad	16504766
cebbbabbbbababbbbabbbbbad	16504766
cbbbbabbbbababbbbabbbbbad	16504766
cbbbbabbbbababbbbabbbbbd	8252383
cbbbbabbbbababbbbabbbbgd	12378575
cbbbbabbbbababbbbabbbgbd	12378575
cbbbbabbbbababbbbabbgbbd	12378575
cbbbbabbbbababbbbabgbbbd	12378575
cbbbbabbbbababbbbagbbbbd	12378575
cbbbbabbbbababbbbfabbbbd	12378575
cbbbbabbbbababbbgaabbbbd	12378575
cbbbbabbbbababbgbaabbbbd	12378575
cbbbbabbbbababgbbaabbbbd	12378575
cbbbbabbbbabagbbbaabbbbd	12378575
cbbbbabbbbabfabbbaabbbbd	12378575
cbbbbabbbbagaabbbaabbbbd	12378575
cbbbbabbbbfaaabbbaabbbbd	12378575
cbbbbabbbgaaaabbbaabbbbd	12378575
cbbbbabbgbaaaabbbaabbbbd	12378575
cbbbbabgbbaaaabbbaabbbbd	12378575
cbbbbagbbbaaaabbbaabbbbd	12378575
cbbbbfabbbaaaabbbaabbbbd	12378575
cbbbgaabbbaaaabbbaabbbbd	12378575
cbbgbaabbbaaaabbbaabbbbd	12378575
cbgbbaabbbaaaabbbaabbbbd	12378575
cgbbbaabbbaaaabbbaabbbbd	12378575
cabbbbaabbbaaaabbbaabbbbd	12378575
cabbbbaabbbaaaabbbaabbbgd	18567863
cabbbbaabbbaaaabbbaabbgbd	18567863
cabbbbaabbbaaaabbbaabgbbd	18567863
cabbbbaabbbaaaabbbaagbbbd	18567863
cabbbbaabbbaaaabbbafabbbd	18567863
cabbbbaabbbaaaabbbebabbbd	18567863
cabbbbaabbbaaaabbfbbabbbd	18567863
cabbbbaabbbaaaabgabbabbbd	18567863
cabbbbaabbbaaaagbabbabbbd	18567863
cabbbbaabbbaaafababbabbbd	18567863
cabbbbaabbbaaebababbabbbd	18567863
cabbbbaabbbaeabababbabbbd	18567863
cabbbbaabbbeaabababbabbbd	18567863
cabbbbaabbfbaabababbabbbd	18567863
cabbbbaabgabaabababbabbbd	18567863
cabbbbaagbabaabababbabbbd	18567863
cabbbbafababaabababbabbbd	18567863
cabbbbebababaabababbabbbd	18567863
cabbbfbbababaabababbabbbd	18567863
cabbgabbababaabababbabbbd	18567863
cabgbabbababaabababbabbbd	18567863
cagbbabbababaabababbabbbd	18567863
cfabbabbababaabababbabbbd	18567863
caaabbabbababaabababbabbbd	18567863
caaabbabbababaabababbabbgd	27851795
caaabbabbababaabababbabgbd	27851795
caaabbabbababaabababbagbbd	27851795
caaabbabbababaabababbfabbd	27851795
caaabbabbababaabababgaabbd	27851795
caaabbabbababaababagbaabbd	27851795
caaabbabbababaababfabaabbd	27851795
caaabbabbababaabagaabaabbd	27851795
caaabbabbababaabfaaabaabbd	27851795
caaabbabbababaagaaaabaabbd	27851795
caaabbabbababafaaaaabaabbd	27851795
caaabbabbababebaaaaabaabbd	27851795
caaabbabbabafbbaaaaabaabbd	27851795
caaabbabbabebbbaaaaabaabbd	27851795
caaabbabbafbbbbaaaaabaabbd	27851795
caaabbabbebbbbbaaaaabaabbd	27851795
caaabbabfbbbbbbaaaaabaabbd	27851795
caaabbagabbbbbbaaaaabaabbd	27851795
caaabbfaabbbbbbaaaaabaabbd	27851795
caaabgaaabbbbbbaaaaabaabbd	27851795
caaagbaaabbbbbbaaaaabaabbd	27851795
caafabaaabbbbbbaaaaabaabbd	27851795
caebabaaabbbbbbaaaaabaabbd	27851795
ceababaaabbbbbbaaaaabaabbd	27851795
cbababaaabbbbbbaaaaabaabbd	27851795
cbababaaabbbbbbaaaaabaabgd	41777693
cbababaaabbbbbbaaaaabaagbd	41777693
cbababaaabbbbbbaaaaabafabd	41777693
cbababaaabbbbbbaaaaabebabd	41777693
cbababaaabbbbbbaaaaafbbabd	41777693
cbababaaabbbbbbaaaaebbbabd	41777693
cbababaaabbbbbbaaaeabbbabd	41777693
cbababaaabbbbbbaaeaabbbabd	41777693
cbababaaabbbbbbaeaaabbbabd	41777693
cbababaaabbbbbbeaaaabbbabd	41777693
cbababaaabbbbbfbaaaabbbabd	41777693
cbababaaabbbbgabaaaabbbabd	41777693
cbababaaabbbgbabaaaabbbabd	41777693
cbababaaabbgbbabaaaabbbabd	41777693
cbababaaabgbbbabaaaabbbabd	41777693
cbababaaagbbbbabaaaabbbabd	41777693
cbababaafabbbbabaaaabbbabd	41777693
cbababaebabbbbabaaaabbbabd	41777693
cbababeababbbbabaaaabbbabd	41777693
cbabafbababbbbabaaaabbbabd	41777693
cbabebbababbbbabaaaabbbabd	41777693
cbafbbbababbbbabaaaabbbabd	41777693
cbebbbbababbbbabaaaabbbabd	41777693
cfbbbbbababbbbabaaaabbbabd	41777693
caabbbbbababbbbabaaaabbbabd	41777693
