"Input number 2751484 with intial rewrite term cabaabbbbbbabbbbbbbbaad
Generated final number 6692535845 with final rewrite term cbaaabbbabbbaabbbbbbbbbbaaabaababd
Number of steps: 1403  Number of array doubles: 0"
Term	Number
caabbaabagabaaababbbbabababbd	241244075
caabbaabfaabaaababbbbabababbd	241244075
caabbaagaaabaaababbbbabababbd	241244075
caabbafaaaabaaababbbbabababbd	241244075
caabbebaaaabaaababbbbabababbd	241244075
caabfbbaaaabaaababbbbabababbd	241244075
caagabbaaaabaaababbbbabababbd	241244075
cafaabbaaaabaaababbbbabababbd	241244075
cebaabbaaaabaaababbbbabababbd	241244075
cbbaabbaaaabaaababbbbabababbd	241244075
cbbaabbaaaabaaababbbbabababgd	361866113
cbbaabbaaaabaaababbbbababagbd	361866113
cbbaabbaaaabaaababbbbababfabd	361866113
cbbaabbaaaabaaababbbbabagaabd	361866113
cbbaabbaaaabaaababbbbabfaaabd	361866113
cbbaabbaaaabaaababbbbagaaaabd	361866113
cbbaabbaaaabaaababbbbfaaaaabd	361866113
cbbaabbaaaabaaababbbgaaaaaabd	361866113
cbbaabbaaaabaaababbgbaaaaaabd	361866113
cbbaabbaaaabaaababgbbaaaaaabd	361866113
cbbaabbaaaabaaabagbbbaaaaaabd	361866113
cbbaabbaaaabaaabfabbbaaaaaabd	361866113
cbbaabbaaaabaaagaabbbaaaaaabd	361866113
cbbaabbaaaabaafaaabbbaaaaaabd	361866113
cbbaabbaaaabaebaaabbbaaaaaabd	361866113
cbbaabbaaaabeabaaabbbaaaaaabd	361866113
cbbaabbaaaafbabaaabbbaaaaaabd	361866113
cbbaabbaaaebbabaaabbbaaaaaabd	361866113
cbbaabbaaeabbabaaabbbaaaaaabd	361866113
cbbaabbaeaabbabaaabbbaaaaaabd	361866113
cbbaabbeaaabbabaaabbbaaaaaabd	361866113
cbbaabfbaaabbabaaabbbaaaaaabd	361866113
cbbaagabaaabbabaaabbbaaaaaabd	361866113
cbbafaabaaabbabaaabbbaaaaaabd	361866113
cbbebaabaaabbabaaabbbaaaaaabd	361866113
cbfbbaabaaabbabaaabbbaaaaaabd	361866113
cgabbaabaaabbabaaabbbaaaaaabd	361866113
cababbaabaaabbabaaabbbaaaaaabd	361866113
cababbaabaaabbabaaabbbaaaaaagd	542799170
cababbaabaaabbabaaabbbaaaaafad	542799170
cababbaabaaabbabaaabbbaaaaebad	542799170
cababbaabaaabbabaaabbbaaaeabad	542799170
cababbaabaaabbabaaabbbaaeaabad	542799170
cababbaabaaabbabaaabbbaeaaabad	542799170
cababbaabaaabbabaaabbbeaaaabad	542799170
cababbaabaaabbabaaabbfbaaaabad	542799170
cababbaabaaabbabaaabgabaaaabad	542799170
cababbaabaaabbabaaagbabaaaabad	542799170
cababbaabaaabbabaafababaaaabad	542799170
cababbaabaaabbabaebababaaaabad	542799170
cababbaabaaabbabeabababaaaabad	542799170
cababbaabaaabbafbabababaaaabad	542799170
cababbaabaaabbebbabababaaaabad	542799170
cababbaabaaabfbbbabababaaaabad	542799170
cababbaabaaagabbbabababaaaabad	542799170
cababbaabaafaabbbabababaaaabad	542799170
cababbaabaebaabbbabababaaaabad	542799170
cababbaabeabaabbbabababaaaabad	542799170
cababbaafbabaabbbabababaaaabad	542799170
cababbaebbabaabbbabababaaaabad	542799170
cababbeabbabaabbbabababaaaabad	542799170
cababfbabbabaabbbabababaaaabad	542799170
cabagababbabaabbbabababaaaabad	542799170
cabfaababbabaabbbabababaaaabad	542799170
cagaaababbabaabbbabababaaaabad	542799170
cfaaaababbabaabbbabababaaaabad	542799170
caaaaaababbabaabbbabababaaaabad	542799170
caaaaaababbabaabbbabababaaaabd	271399585
caaaaaababbabaabbbabababaaaagd	407099378
caaaaaababbabaabbbabababaaafad	407099378
caaaaaababbabaabbbabababaaebad	407099378
caaaaaababbabaabbbabababaeabad	407099378
caaaaaababbabaabbbabababeaabad	407099378
caaaaaababbabaabbbababafbaabad	407099378
caaaaaababbabaabbbababebbaabad	407099378
caaaaaababbabaabbbabafbbbaabad	407099378
caaaaaababbabaabbbabebbbbaabad	407099378
caaaaaababbabaabbbafbbbbbaabad	407099378
caaaaaababbabaabbbebbbbbbaabad	407099378
caaaaaababbabaabbfbbbbbbbaabad	407099378
caaaaaababbabaabgabbbbbbbaabad	407099378
caaaaaababbabaagbabbbbbbbaabad	407099378
caaaaaababbabafababbbbbbbaabad	407099378
caaaaaababbabebababbbbbbbaabad	407099378
caaaaaababbafbbababbbbbbbaabad	407099378
caaaaaababbebbbababbbbbbbaabad	407099378
caaaaaababfbbbbababbbbbbbaabad	407099378
caaaaaabagabbbbababbbbbbbaabad	407099378
caaaaaabfaabbbbababbbbbbbaabad	407099378
caaaaaagaaabbbbababbbbbbbaabad	407099378
caaaaafaaaabbbbababbbbbbbaabad	407099378
caaaaebaaaabbbbababbbbbbbaabad	407099378
caaaeabaaaabbbbababbbbbbbaabad	407099378
caaeaabaaaabbbbababbbbbbbaabad	407099378
caeaaabaaaabbbbababbbbbbbaabad	407099378
ceaaaabaaaabbbbababbbbbbbaabad	407099378
cbaaaabaaaabbbbababbbbbbbaabad	407099378
cbaaaabaaaabbbbababbbbbbbaabd	203549689
cbaaaabaaaabbbbababbbbbbbaagd	305324534
cbaaaabaaaabbbbababbbbbbbafad	305324534
cbaaaabaaaabbbbababbbbbbbebad	305324534
cbaaaabaaaabbbbababbbbbbfbbad	305324534
cbaaaabaaaabbbbababbbbbgabbad	305324534
cbaaaabaaaabbbbababbbbgbabbad	305324534
cbaaaabaaaabbbbababbbgbbabbad	305324534
cbaaaabaaaabbbbababbgbbbabbad	305324534
cbaaaabaaaabbbbababgbbbbabbad	305324534
cbaaaabaaaabbbbabagbbbbbabbad	305324534
cbaaaabaaaabbbbabfabbbbbabbad	305324534
cbaaaabaaaabbbbagaabbbbbabbad	305324534
cbaaaabaaaabbbbfaaabbbbbabbad	305324534
cbaaaabaaaabbbgaaaabbbbbabbad	305324534
cbaaaabaaaabbgbaaaabbbbbabbad	305324534
cbaaaabaaaabgbbaaaabbbbbabbad	305324534
cbaaaabaaaagbbbaaaabbbbbabbad	305324534
cbaaaabaaafabbbaaaabbbbbabbad	305324534
cbaaaabaaebabbbaaaabbbbbabbad	305324534
cbaaaabaeababbbaaaabbbbbabbad	305324534
cbaaaabeaababbbaaaabbbbbabbad	305324534
cbaaaafbaababbbaaaabbbbbabbad	305324534
cbaaaebbaababbbaaaabbbbbabbad	305324534
cbaaeabbaababbbaaaabbbbbabbad	305324534
cbaeaabbaababbbaaaabbbbbabbad	305324534
cbeaaabbaababbbaaaabbbbbabbad	305324534
cfbaaabbaababbbaaaabbbbbabbad	305324534
caabaaabbaababbbaaaabbbbbabbad	305324534
caabaaabbaababbbaaaabbbbbabbd	152662267
caabaaabbaababbbaaaabbbbbabgd	228993401
caabaaabbaababbbaaaabbbbbagbd	228993401
caabaaabbaababbbaaaabbbbbfabd	228993401
caabaaabbaababbbaaaabbbbgaabd	228993401
caabaaabbaababbbaaaabbbgbaabd	228993401
caabaaabbaababbbaaaabbgbbaabd	228993401
caabaaabbaababbbaaaabgbbbaabd	228993401
caabaaabbaababbbaaaagbbbbaabd	228993401
caabaaabbaababbbaaafabbbbaabd	228993401
caabaaabbaababbbaaebabbbbaabd	228993401
caabaaabbaababbbaeababbbbaabd	228993401
caabaaabbaababbbeaababbbbaabd	228993401
caabaaabbaababbfbaababbbbaabd	228993401
caabaaabbaababgabaababbbbaabd	228993401
caabaaabbaabagbabaababbbbaabd	228993401
caabaaabbaabfababaababbbbaabd	228993401
caabaaabbaagaababaababbbbaabd	228993401
caabaaabbafaaababaababbbbaabd	228993401
caabaaabbebaaababaababbbbaabd	228993401
caabaaabfbbaaababaababbbbaabd	228993401
caabaaagabbaaababaababbbbaabd	228993401
caabaafaabbaaababaababbbbaabd	228993401
caabaebaabbaaababaababbbbaabd	228993401
caabeabaabbaaababaababbbbaabd	228993401
caafbabaabbaaababaababbbbaabd	228993401
caebbabaabbaaababaababbbbaabd	228993401
ceabbabaabbaaababaababbbbaabd	228993401
cbabbabaabbaaababaababbbbaabd	228993401
cbabbabaabbaaababaababbbbaagd	343490102
cbabbabaabbaaababaababbbbafad	343490102
cbabbabaabbaaababaababbbbebad	343490102
cbabbabaabbaaababaababbbfbbad	343490102
cbabbabaabbaaababaababbgabbad	343490102
cbabbabaabbaaababaababgbabbad	343490102
cbabbabaabbaaababaabagbbabbad	343490102
cbabbabaabbaaababaabfabbabbad	343490102
cbabbabaabbaaababaagaabbabbad	343490102
cbabbabaabbaaababafaaabbabbad	343490102
cbabbabaabbaaababebaaabbabbad	343490102
cbabbabaabbaaabafbbaaabbabbad	343490102
cbabbabaabbaaabebbbaaabbabbad	343490102
cbabbabaabbaaafbbbbaaabbabbad	343490102
cbabbabaabbaaebbbbbaaabbabbad	343490102
cbabbabaabbaeabbbbbaaabbabbad	343490102
cbabbabaabbeaabbbbbaaabbabbad	343490102
cbabbabaabfbaabbbbbaaabbabbad	343490102
cbabbabaagabaabbbbbaaabbabbad	343490102
cbabbabafaabaabbbbbaaabbabbad	343490102
cbabbabebaabaabbbbbaaabbabbad	343490102
cbabbafbbaabaabbbbbaaabbabbad	343490102
cbabbebbbaabaabbbbbaaabbabbad	343490102
cbabfbbbbaabaabbbbbaaabbabbad	343490102
cbagabbbbaabaabbbbbaaabbabbad	343490102
cbfaabbbbaabaabbbbbaaabbabbad	343490102
cgaaabbbbaabaabbbbbaaabbabbad	343490102
cabaaabbbbaabaabbbbbaaabbabbad	343490102
cabaaabbbbaabaabbbbbaaabbabbd	171745051
cabaaabbbbaabaabbbbbaaabbabgd	257617577
cabaaabbbbaabaabbbbbaaabbagbd	257617577
cabaaabbbbaabaabbbbbaaabbfabd	257617577
cabaaabbbbaabaabbbbbaaabgaabd	257617577
cabaaabbbbaabaabbbbbaaagbaabd	257617577
cabaaabbbbaabaabbbbbaafabaabd	257617577
cabaaabbbbaabaabbbbbaebabaabd	257617577
cabaaabbbbaabaabbbbbeababaabd	257617577
cabaaabbbbaabaabbbbfbababaabd	257617577
cabaaabbbbaabaabbbgabababaabd	257617577
cabaaabbbbaabaabbgbabababaabd	257617577
cabaaabbbbaabaabgbbabababaabd	257617577
cabaaabbbbaabaagbbbabababaabd	257617577
cabaaabbbbaabafabbbabababaabd	257617577
cabaaabbbbaabebabbbabababaabd	257617577
cabaaabbbbaafbbabbbabababaabd	257617577
cabaaabbbbaebbbabbbabababaabd	257617577
cabaaabbbbeabbbabbbabababaabd	257617577
cabaaabbbfbabbbabbbabababaabd	257617577
cabaaabbgababbbabbbabababaabd	257617577
cabaaabgbababbbabbbabababaabd	257617577
cabaaagbbababbbabbbabababaabd	257617577
cabaafabbababbbabbbabababaabd	257617577
cabaebabbababbbabbbabababaabd	257617577
cabeababbababbbabbbabababaabd	257617577
cafbababbababbbabbbabababaabd	257617577
cebbababbababbbabbbabababaabd	257617577
cbbbababbababbbabbbabababaabd	257617577
cbbbababbababbbabbbabababaagd	386426366
cbbbababbababbbabbbabababafad	386426366
cbbbababbababbbabbbabababebad	386426366
cbbbababbababbbabbbababafbbad	386426366
cbbbababbababbbabbbababebbbad	386426366
cbbbababbababbbabbbabafbbbbad	386426366
cbbbababbababbbabbbabebbbbbad	386426366
cbbbababbababbbabbbafbbbbbbad	386426366
cbbbababbababbbabbbebbbbbbbad	386426366
cbbbababbababbbabbfbbbbbbbbad	386426366
cbbbababbababbbabgabbbbbbbbad	386426366
cbbbababbababbbagbabbbbbbbbad	386426366
cbbbababbababbbfababbbbbbbbad	386426366
cbbbababbababbgaababbbbbbbbad	386426366
cbbbababbababgbaababbbbbbbbad	386426366
cbbbababbabagbbaababbbbbbbbad	386426366
cbbbababbabfabbaababbbbbbbbad	386426366
cbbbababbagaabbaababbbbbbbbad	386426366
cbbbababbfaaabbaababbbbbbbbad	386426366
cbbbababgaaaabbaababbbbbbbbad	386426366
cbbbabagbaaaabbaababbbbbbbbad	386426366
cbbbabfabaaaabbaababbbbbbbbad	386426366
cbbbagaabaaaabbaababbbbbbbbad	386426366
cbbbfaaabaaaabbaababbbbbbbbad	386426366
cbbgaaaabaaaabbaababbbbbbbbad	386426366
cbgbaaaabaaaabbaababbbbbbbbad	386426366
cgbbaaaabaaaabbaababbbbbbbbad	386426366
cabbbaaaabaaaabbaababbbbbbbbad	386426366
cabbbaaaabaaaabbaababbbbbbbbd	193213183
cabbbaaaabaaaabbaababbbbbbbgd	289819775
cabbbaaaabaaaabbaababbbbbbgbd	289819775
cabbbaaaabaaaabbaababbbbbgbbd	289819775
cabbbaaaabaaaabbaababbbbgbbbd	289819775
cabbbaaaabaaaabbaababbbgbbbbd	289819775
cabbbaaaabaaaabbaababbgbbbbbd	289819775
cabbbaaaabaaaabbaababgbbbbbbd	289819775
cabbbaaaabaaaabbaabagbbbbbbbd	289819775
cabbbaaaabaaaabbaabfabbbbbbbd	289819775
cabbbaaaabaaaabbaagaabbbbbbbd	289819775
cabbbaaaabaaaabbafaaabbbbbbbd	289819775
cabbbaaaabaaaabbebaaabbbbbbbd	289819775
cabbbaaaabaaaabfbbaaabbbbbbbd	289819775
cabbbaaaabaaaagabbaaabbbbbbbd	289819775
cabbbaaaabaaafaabbaaabbbbbbbd	289819775
cabbbaaaabaaebaabbaaabbbbbbbd	289819775
cabbbaaaabaeabaabbaaabbbbbbbd	289819775
cabbbaaaabeaabaabbaaabbbbbbbd	289819775
cabbbaaaafbaabaabbaaabbbbbbbd	289819775
cabbbaaaebbaabaabbaaabbbbbbbd	289819775
cabbbaaeabbaabaabbaaabbbbbbbd	289819775
cabbbaeaabbaabaabbaaabbbbbbbd	289819775
cabbbeaaabbaabaabbaaabbbbbbbd	289819775
cabbfbaaabbaabaabbaaabbbbbbbd	289819775
cabgabaaabbaabaabbaaabbbbbbbd	289819775
cagbabaaabbaabaabbaaabbbbbbbd	289819775
cfababaaabbaabaabbaaabbbbbbbd	289819775
caaababaaabbaabaabbaaabbbbbbbd	289819775
caaababaaabbaabaabbaaabbbbbbgd	434729663
caaababaaabbaabaabbaaabbbbbgbd	434729663
caaababaaabbaabaabbaaabbbbgbbd	434729663
caaababaaabbaabaabbaaabbbgbbbd	434729663
caaababaaabbaabaabbaaabbgbbbbd	434729663
caaababaaabbaabaabbaaabgbbbbbd	434729663
caaababaaabbaabaabbaaagbbbbbbd	434729663
caaababaaabbaabaabbaafabbbbbbd	434729663
caaababaaabbaabaabbaebabbbbbbd	434729663
caaababaaabbaabaabbeababbbbbbd	434729663
caaababaaabbaabaabfbababbbbbbd	434729663
caaababaaabbaabaagabababbbbbbd	434729663
caaababaaabbaabafaabababbbbbbd	434729663
caaababaaabbaabebaabababbbbbbd	434729663
caaababaaabbaafbbaabababbbbbbd	434729663
caaababaaabbaebbbaabababbbbbbd	434729663
caaababaaabbeabbbaabababbbbbbd	434729663
caaababaaabfbabbbaabababbbbbbd	434729663
caaababaaagababbbaabababbbbbbd	434729663
caaababaafaababbbaabababbbbbbd	434729663
caaababaebaababbbaabababbbbbbd	434729663
caaababeabaababbbaabababbbbbbd	434729663
caaabafbabaababbbaabababbbbbbd	434729663
caaabebbabaababbbaabababbbbbbd	434729663
caaafbbbabaababbbaabababbbbbbd	434729663
caaebbbbabaababbbaabababbbbbbd	434729663
caeabbbbabaababbbaabababbbbbbd	434729663
ceaabbbbabaababbbaabababbbbbbd	434729663
cbaabbbbabaababbbaabababbbbbbd	434729663
cbaabbbbabaababbbaabababbbbbgd	652094495
cbaabbbbabaababbbaabababbbbgbd	652094495
cbaabbbbabaababbbaabababbbgbbd	652094495
cbaabbbbabaababbbaabababbgbbbd	652094495
cbaabbbbabaababbbaabababgbbbbd	652094495
cbaabbbbabaababbbaababagbbbbbd	652094495
cbaabbbbabaababbbaababfabbbbbd	652094495
cbaabbbbabaababbbaabagaabbbbbd	652094495
cbaabbbbabaababbbaabfaaabbbbbd	652094495
cbaabbbbabaababbbaagaaaabbbbbd	652094495
cbaabbbbabaababbbafaaaaabbbbbd	652094495
cbaabbbbabaababbbebaaaaabbbbbd	652094495
cbaabbbbabaababbfbbaaaaabbbbbd	652094495
cbaabbbbabaababgabbaaaaabbbbbd	652094495
cbaabbbbabaabagbabbaaaaabbbbbd	652094495
cbaabbbbabaabfababbaaaaabbbbbd	652094495
cbaabbbbabaagaababbaaaaabbbbbd	652094495
cbaabbbbabafaaababbaaaaabbbbbd	652094495
cbaabbbbabebaaababbaaaaabbbbbd	652094495
cbaabbbbafbbaaababbaaaaabbbbbd	652094495
cbaabbbbebbbaaababbaaaaabbbbbd	652094495
cbaabbbfbbbbaaababbaaaaabbbbbd	652094495
cbaabbgabbbbaaababbaaaaabbbbbd	652094495
cbaabgbabbbbaaababbaaaaabbbbbd	652094495
cbaagbbabbbbaaababbaaaaabbbbbd	652094495
cbafabbabbbbaaababbaaaaabbbbbd	652094495
cbebabbabbbbaaababbaaaaabbbbbd	652094495
cfbbabbabbbbaaababbaaaaabbbbbd	652094495
caabbabbabbbbaaababbaaaaabbbbbd	652094495
caabbabbabbbbaaababbaaaaabbbbgd	978141743
caabbabbabbbbaaababbaaaaabbbgbd	978141743
caabbabbabbbbaaababbaaaaabbgbbd	978141743
caabbabbabbbbaaababbaaaaabgbbbd	978141743
caabbabbabbbbaaababbaaaaagbbbbd	978141743
caabbabbabbbbaaababbaaaafabbbbd	978141743
caabbabbabbbbaaababbaaaebabbbbd	978141743
caabbabbabbbbaaababbaaeababbbbd	978141743
caabbabbabbbbaaababbaeaababbbbd	978141743
caabbabbabbbbaaababbeaaababbbbd	978141743
caabbabbabbbbaaababfbaaababbbbd	978141743
caabbabbabbbbaaabagabaaababbbbd	978141743
caabbabbabbbbaaabfaabaaababbbbd	978141743
caabbabbabbbbaaagaaabaaababbbbd	978141743
caabbabbabbbbaafaaaabaaababbbbd	978141743
caabbabbabbbbaebaaaabaaababbbbd	978141743
caabbabbabbbbeabaaaabaaababbbbd	978141743
caabbabbabbbfbabaaaabaaababbbbd	978141743
caabbabbabbgababaaaabaaababbbbd	978141743
caabbabbabgbababaaaabaaababbbbd	978141743
caabbabbagbbababaaaabaaababbbbd	978141743
caabbabbfabbababaaaabaaababbbbd	978141743
caabbabgaabbababaaaabaaababbbbd	978141743
caabbagbaabbababaaaabaaababbbbd	978141743
caabbfabaabbababaaaabaaababbbbd	978141743
caabgaabaabbababaaaabaaababbbbd	978141743
caagbaabaabbababaaaabaaababbbbd	978141743
cafabaabaabbababaaaabaaababbbbd	978141743
cebabaabaabbababaaaabaaababbbbd	978141743
cbbabaabaabbababaaaabaaababbbbd	978141743
cbbabaabaabbababaaaabaaababbbgd	1467212615
cbbabaabaabbababaaaabaaababbgbd	1467212615
cbbabaabaabbababaaaabaaababgbbd	1467212615
cbbabaabaabbababaaaabaaabagbbbd	1467212615
cbbabaabaabbababaaaabaaabfabbbd	1467212615
cbbabaabaabbababaaaabaaagaabbbd	1467212615
cbbabaabaabbababaaaabaafaaabbbd	1467212615
cbbabaabaabbababaaaabaebaaabbbd	1467212615
cbbabaabaabbababaaaabeabaaabbbd	1467212615
cbbabaabaabbababaaaafbabaaabbbd	1467212615
cbbabaabaabbababaaaebbabaaabbbd	1467212615
cbbabaabaabbababaaeabbabaaabbbd	1467212615
cbbabaabaabbababaeaabbabaaabbbd	1467212615
cbbabaabaabbababeaaabbabaaabbbd	1467212615
cbbabaabaabbabafbaaabbabaaabbbd	1467212615
cbbabaabaabbabebbaaabbabaaabbbd	1467212615
cbbabaabaabbafbbbaaabbabaaabbbd	1467212615
cbbabaabaabbebbbbaaabbabaaabbbd	1467212615
cbbabaabaabfbbbbbaaabbabaaabbbd	1467212615
cbbabaabaagabbbbbaaabbabaaabbbd	1467212615
cbbabaabafaabbbbbaaabbabaaabbbd	1467212615
cbbabaabebaabbbbbaaabbabaaabbbd	1467212615
cbbabaafbbaabbbbbaaabbabaaabbbd	1467212615
cbbabaebbbaabbbbbaaabbabaaabbbd	1467212615
cbbabeabbbaabbbbbaaabbabaaabbbd	1467212615
cbbafbabbbaabbbbbaaabbabaaabbbd	1467212615
cbbebbabbbaabbbbbaaabbabaaabbbd	1467212615
cbfbbbabbbaabbbbbaaabbabaaabbbd	1467212615
cgabbbabbbaabbbbbaaabbabaaabbbd	1467212615
cababbbabbbaabbbbbaaabbabaaabbbd	1467212615
cababbbabbbaabbbbbaaabbabaaabbgd	2200818923
cababbbabbbaabbbbbaaabbabaaabgbd	2200818923
cababbbabbbaabbbbbaaabbabaaagbbd	2200818923
cababbbabbbaabbbbbaaabbabaafabbd	2200818923
cababbbabbbaabbbbbaaabbabaebabbd	2200818923
cababbbabbbaabbbbbaaabbabeababbd	2200818923
cababbbabbbaabbbbbaaabbafbababbd	2200818923
cababbbabbbaabbbbbaaabbebbababbd	2200818923
cababbbabbbaabbbbbaaabfbbbababbd	2200818923
cababbbabbbaabbbbbaaagabbbababbd	2200818923
cababbbabbbaabbbbbaafaabbbababbd	2200818923
cababbbabbbaabbbbbaebaabbbababbd	2200818923
cababbbabbbaabbbbbeabaabbbababbd	2200818923
cababbbabbbaabbbbfbabaabbbababbd	2200818923
cababbbabbbaabbbgababaabbbababbd	2200818923
cababbbabbbaabbgbababaabbbababbd	2200818923
cababbbabbbaabgbbababaabbbababbd	2200818923
cababbbabbbaagbbbababaabbbababbd	2200818923
cababbbabbbafabbbababaabbbababbd	2200818923
cababbbabbbebabbbababaabbbababbd	2200818923
cababbbabbfbbabbbababaabbbababbd	2200818923
cababbbabgabbabbbababaabbbababbd	2200818923
cababbbagbabbabbbababaabbbababbd	2200818923
cababbbfababbabbbababaabbbababbd	2200818923
cababbgaababbabbbababaabbbababbd	2200818923
cababgbaababbabbbababaabbbababbd	2200818923
cabagbbaababbabbbababaabbbababbd	2200818923
cabfabbaababbabbbababaabbbababbd	2200818923
cagaabbaababbabbbababaabbbababbd	2200818923
cfaaabbaababbabbbababaabbbababbd	2200818923
caaaaabbaababbabbbababaabbbababbd	2200818923
caaaaabbaababbabbbababaabbbababgd	3301228385
caaaaabbaababbabbbababaabbbabagbd	3301228385
caaaaabbaababbabbbababaabbbabfabd	3301228385
caaaaabbaababbabbbababaabbbagaabd	3301228385
caaaaabbaababbabbbababaabbbfaaabd	3301228385
caaaaabbaababbabbbababaabbgaaaabd	3301228385
caaaaabbaababbabbbababaabgbaaaabd	3301228385
caaaaabbaababbabbbababaagbbaaaabd	3301228385
caaaaabbaababbabbbababafabbaaaabd	3301228385
caaaaabbaababbabbbababebabbaaaabd	3301228385
caaaaabbaababbabbbabafbbabbaaaabd	3301228385
caaaaabbaababbabbbabebbbabbaaaabd	3301228385
caaaaabbaababbabbbafbbbbabbaaaabd	3301228385
caaaaabbaababbabbbebbbbbabbaaaabd	3301228385
caaaaabbaababbabbfbbbbbbabbaaaabd	3301228385
caaaaabbaababbabgabbbbbbabbaaaabd	3301228385
caaaaabbaababbagbabbbbbbabbaaaabd	3301228385
caaaaabbaababbfababbbbbbabbaaaabd	3301228385
caaaaabbaababgaababbbbbbabbaaaabd	3301228385
caaaaabbaabagbaababbbbbbabbaaaabd	3301228385
caaaaabbaabfabaababbbbbbabbaaaabd	3301228385
caaaaabbaagaabaababbbbbbabbaaaabd	3301228385
caaaaabbafaaabaababbbbbbabbaaaabd	3301228385
caaaaabbebaaabaababbbbbbabbaaaabd	3301228385
caaaaabfbbaaabaababbbbbbabbaaaabd	3301228385
caaaaagabbaaabaababbbbbbabbaaaabd	3301228385
caaaafaabbaaabaababbbbbbabbaaaabd	3301228385
caaaebaabbaaabaababbbbbbabbaaaabd	3301228385
caaeabaabbaaabaababbbbbbabbaaaabd	3301228385
caeaabaabbaaabaababbbbbbabbaaaabd	3301228385
ceaaabaabbaaabaababbbbbbabbaaaabd	3301228385
cbaaabaabbaaabaababbbbbbabbaaaabd	3301228385
cbaaabaabbaaabaababbbbbbabbaaaagd	4951842578
cbaaabaabbaaabaababbbbbbabbaaafad	4951842578
cbaaabaabbaaabaababbbbbbabbaaebad	4951842578
cbaaabaabbaaabaababbbbbbabbaeabad	4951842578
cbaaabaabbaaabaababbbbbbabbeaabad	4951842578
cbaaabaabbaaabaababbbbbbabfbaabad	4951842578
cbaaabaabbaaabaababbbbbbagabaabad	4951842578
cbaaabaabbaaabaababbbbbbfaabaabad	4951842578
cbaaabaabbaaabaababbbbbgaaabaabad	4951842578
cbaaabaabbaaabaababbbbgbaaabaabad	4951842578
cbaaabaabbaaabaababbbgbbaaabaabad	4951842578
cbaaabaabbaaabaababbgbbbaaabaabad	4951842578
cbaaabaabbaaabaababgbbbbaaabaabad	4951842578
cbaaabaabbaaabaabagbbbbbaaabaabad	4951842578
cbaaabaabbaaabaabfabbbbbaaabaabad	4951842578
cbaaabaabbaaabaagaabbbbbaaabaabad	4951842578
cbaaabaabbaaabafaaabbbbbaaabaabad	4951842578
cbaaabaabbaaabebaaabbbbbaaabaabad	4951842578
cbaaabaabbaaafbbaaabbbbbaaabaabad	4951842578
cbaaabaabbaaebbbaaabbbbbaaabaabad	4951842578
cbaaabaabbaeabbbaaabbbbbaaabaabad	4951842578
cbaaabaabbeaabbbaaabbbbbaaabaabad	4951842578
cbaaabaabfbaabbbaaabbbbbaaabaabad	4951842578
cbaaabaagabaabbbaaabbbbbaaabaabad	4951842578
cbaaabafaabaabbbaaabbbbbaaabaabad	4951842578
cbaaabebaabaabbbaaabbbbbaaabaabad	4951842578
cbaaafbbaabaabbbaaabbbbbaaabaabad	4951842578
cbaaebbbaabaabbbaaabbbbbaaabaabad	4951842578
cbaeabbbaabaabbbaaabbbbbaaabaabad	4951842578
cbeaabbbaabaabbbaaabbbbbaaabaabad	4951842578
cfbaabbbaabaabbbaaabbbbbaaabaabad	4951842578
caabaabbbaabaabbbaaabbbbbaaabaabad	4951842578
caabaabbbaabaabbbaaabbbbbaaabaabd	2475921289
caabaabbbaabaabbbaaabbbbbaaabaagd	3713881934
caabaabbbaabaabbbaaabbbbbaaabafad	3713881934
caabaabbbaabaabbbaaabbbbbaaabebad	3713881934
caabaabbbaabaabbbaaabbbbbaaafbbad	3713881934
caabaabbbaabaabbbaaabbbbbaaebbbad	3713881934
caabaabbbaabaabbbaaabbbbbaeabbbad	3713881934
caabaabbbaabaabbbaaabbbbbeaabbbad	3713881934
caabaabbbaabaabbbaaabbbbfbaabbbad	3713881934
caabaabbbaabaabbbaaabbbgabaabbbad	3713881934
caabaabbbaabaabbbaaabbgbabaabbbad	3713881934
caabaabbbaabaabbbaaabgbbabaabbbad	3713881934
caabaabbbaabaabbbaaagbbbabaabbbad	3713881934
caabaabbbaabaabbbaafabbbabaabbbad	3713881934
caabaabbbaabaabbbaebabbbabaabbbad	3713881934
caabaabbbaabaabbbeababbbabaabbbad	3713881934
caabaabbbaabaabbfbababbbabaabbbad	3713881934
caabaabbbaabaabgabababbbabaabbbad	3713881934
caabaabbbaabaagbabababbbabaabbbad	3713881934
caabaabbbaabafababababbbabaabbbad	3713881934
caabaabbbaabebababababbbabaabbbad	3713881934
caabaabbbaafbbababababbbabaabbbad	3713881934
caabaabbbaebbbababababbbabaabbbad	3713881934
caabaabbbeabbbababababbbabaabbbad	3713881934
caabaabbfbabbbababababbbabaabbbad	3713881934
caabaabgababbbababababbbabaabbbad	3713881934
caabaagbababbbababababbbabaabbbad	3713881934
caabafabababbbababababbbabaabbbad	3713881934
caabebabababbbababababbbabaabbbad	3713881934
caafbbabababbbababababbbabaabbbad	3713881934
caebbbabababbbababababbbabaabbbad	3713881934
ceabbbabababbbababababbbabaabbbad	3713881934
cbabbbabababbbababababbbabaabbbad	3713881934
cbabbbabababbbababababbbabaabbbd	1856940967
cbabbbabababbbababababbbabaabbgd	2785411451
cbabbbabababbbababababbbabaabgbd	2785411451
