"Input number 2751484 with intial rewrite term cabaabbbbbbabbbbbbbbaad
Generated final number 6692535845 with final rewrite term cbaaabbbabbbaabbbbbbbbbbaaabaababd
Number of steps: 1403  Number of array doubles: 0"
Term	Number
cebaaababbbbbaaababbbbaabd	29749625
cbbaaababbbbbaaababbbbaabd	29749625
cbbaaababbbbbaaababbbbaagd	44624438
cbbaaababbbbbaaababbbbafad	44624438
cbbaaababbbbbaaababbbbebad	44624438
cbbaaababbbbbaaababbbfbbad	44624438
cbbaaababbbbbaaababbgabbad	44624438
cbbaaababbbbbaaababgbabbad	44624438
cbbaaababbbbbaaabagbbabbad	44624438
cbbaaababbbbbaaabfabbabbad	44624438
cbbaaababbbbbaaagaabbabbad	44624438
cbbaaababbbbbaafaaabbabbad	44624438
cbbaaababbbbbaebaaabbabbad	44624438
cbbaaababbbbbeabaaabbabbad	44624438
cbbaaababbbbfbabaaabbabbad	44624438
cbbaaababbbgababaaabbabbad	44624438
cbbaaababbgbababaaabbabbad	44624438
cbbaaababgbbababaaabbabbad	44624438
cbbaaabagbbbababaaabbabbad	44624438
cbbaaabfabbbababaaabbabbad	44624438
cbbaaagaabbbababaaabbabbad	44624438
cbbaafaaabbbababaaabbabbad	44624438
cbbaebaaabbbababaaabbabbad	44624438
cbbeabaaabbbababaaabbabbad	44624438
cbfbabaaabbbababaaabbabbad	44624438
cgababaaabbbababaaabbabbad	44624438
cabababaaabbbababaaabbabbad	44624438
cabababaaabbbababaaabbabbd	22312219
cabababaaabbbababaaabbabgd	33468329
cabababaaabbbababaaabbagbd	33468329
cabababaaabbbababaaabbfabd	33468329
cabababaaabbbababaaabgaabd	33468329
cabababaaabbbababaaagbaabd	33468329
cabababaaabbbababaafabaabd	33468329
cabababaaabbbababaebabaabd	33468329
cabababaaabbbababeababaabd	33468329
cabababaaabbbabafbababaabd	33468329
cabababaaabbbabebbababaabd	33468329
cabababaaabbbafbbbababaabd	33468329
cabababaaabbbebbbbababaabd	33468329
cabababaaabbfbbbbbababaabd	33468329
cabababaaabgabbbbbababaabd	33468329
cabababaaagbabbbbbababaabd	33468329
cabababaafababbbbbababaabd	33468329
cabababaebababbbbbababaabd	33468329
cabababeabababbbbbababaabd	33468329
cababafbabababbbbbababaabd	33468329
cababebbabababbbbbababaabd	33468329
cabafbbbabababbbbbababaabd	33468329
cabebbbbabababbbbbababaabd	33468329
cafbbbbbabababbbbbababaabd	33468329
cebbbbbbabababbbbbababaabd	33468329
cbbbbbbbabababbbbbababaabd	33468329
cbbbbbbbabababbbbbababaagd	50202494
cbbbbbbbabababbbbbababafad	50202494
cbbbbbbbabababbbbbababebad	50202494
cbbbbbbbabababbbbbabafbbad	50202494
cbbbbbbbabababbbbbabebbbad	50202494
cbbbbbbbabababbbbbafbbbbad	50202494
cbbbbbbbabababbbbbebbbbbad	50202494
cbbbbbbbabababbbbfbbbbbbad	50202494
cbbbbbbbabababbbgabbbbbbad	50202494
cbbbbbbbabababbgbabbbbbbad	50202494
cbbbbbbbabababgbbabbbbbbad	50202494
cbbbbbbbababagbbbabbbbbbad	50202494
cbbbbbbbababfabbbabbbbbbad	50202494
