"Input number 9124174 with intial rewrite term caaababbaabbbaababaabbbad
Generated final number 106646868445 with final rewrite term cbaaabbababaababaabbaaaabaaabbbabbbabd
Number of steps: 1784  Number of array doubles: 0"
Term	Number
cbabbbbbaaaeaabbbabbbbbbd	21922751
cbabbbbbaaeaaabbbabbbbbbd	21922751
cbabbbbbaeaaaabbbabbbbbbd	21922751
cbabbbbbeaaaaabbbabbbbbbd	21922751
cbabbbbfbaaaaabbbabbbbbbd	21922751
cbabbbgabaaaaabbbabbbbbbd	21922751
cbabbgbabaaaaabbbabbbbbbd	21922751
cbabgbbabaaaaabbbabbbbbbd	21922751
cbagbbbabaaaaabbbabbbbbbd	21922751
cbfabbbabaaaaabbbabbbbbbd	21922751
cgaabbbabaaaaabbbabbbbbbd	21922751
cabaabbbabaaaaabbbabbbbbbd	21922751
cabaabbbabaaaaabbbabbbbbgd	32884127
cabaabbbabaaaaabbbabbbbgbd	32884127
cabaabbbabaaaaabbbabbbgbbd	32884127
cabaabbbabaaaaabbbabbgbbbd	32884127
cabaabbbabaaaaabbbabgbbbbd	32884127
cabaabbbabaaaaabbbagbbbbbd	32884127
cabaabbbabaaaaabbbfabbbbbd	32884127
cabaabbbabaaaaabbgaabbbbbd	32884127
cabaabbbabaaaaabgbaabbbbbd	32884127
cabaabbbabaaaaagbbaabbbbbd	32884127
cabaabbbabaaaafabbaabbbbbd	32884127
cabaabbbabaaaebabbaabbbbbd	32884127
cabaabbbabaaeababbaabbbbbd	32884127
cabaabbbabaeaababbaabbbbbd	32884127
cabaabbbabeaaababbaabbbbbd	32884127
cabaabbbafbaaababbaabbbbbd	32884127
cabaabbbebbaaababbaabbbbbd	32884127
cabaabbfbbbaaababbaabbbbbd	32884127
cabaabgabbbaaababbaabbbbbd	32884127
cabaagbabbbaaababbaabbbbbd	32884127
cabafababbbaaababbaabbbbbd	32884127
cabebababbbaaababbaabbbbbd	32884127
cafbbababbbaaababbaabbbbbd	32884127
cebbbababbbaaababbaabbbbbd	32884127
cbbbbababbbaaababbaabbbbbd	32884127
cbbbbababbbaaababbaabbbbgd	49326191
cbbbbababbbaaababbaabbbgbd	49326191
cbbbbababbbaaababbaabbgbbd	49326191
cbbbbababbbaaababbaabgbbbd	49326191
cbbbbababbbaaababbaagbbbbd	49326191
cbbbbababbbaaababbafabbbbd	49326191
cbbbbababbbaaababbebabbbbd	49326191
cbbbbababbbaaababfbbabbbbd	49326191
cbbbbababbbaaabagabbabbbbd	49326191
cbbbbababbbaaabfaabbabbbbd	49326191
cbbbbababbbaaagaaabbabbbbd	49326191
cbbbbababbbaafaaaabbabbbbd	49326191
cbbbbababbbaebaaaabbabbbbd	49326191
cbbbbababbbeabaaaabbabbbbd	49326191
cbbbbababbfbabaaaabbabbbbd	49326191
cbbbbababgababaaaabbabbbbd	49326191
cbbbbabagbababaaaabbabbbbd	49326191
cbbbbabfabababaaaabbabbbbd	49326191
cbbbbagaabababaaaabbabbbbd	49326191
cbbbbfaaabababaaaabbabbbbd	49326191
cbbbgaaaabababaaaabbabbbbd	49326191
cbbgbaaaabababaaaabbabbbbd	49326191
cbgbbaaaabababaaaabbabbbbd	49326191
cgbbbaaaabababaaaabbabbbbd	49326191
cabbbbaaaabababaaaabbabbbbd	49326191
cabbbbaaaabababaaaabbabbbgd	73989287
cabbbbaaaabababaaaabbabbgbd	73989287
cabbbbaaaabababaaaabbabgbbd	73989287
cabbbbaaaabababaaaabbagbbbd	73989287
cabbbbaaaabababaaaabbfabbbd	73989287
cabbbbaaaabababaaaabgaabbbd	73989287
cabbbbaaaabababaaaagbaabbbd	73989287
cabbbbaaaabababaaafabaabbbd	73989287
cabbbbaaaabababaaebabaabbbd	73989287
cabbbbaaaabababaeababaabbbd	73989287
cabbbbaaaabababeaababaabbbd	73989287
cabbbbaaaababafbaababaabbbd	73989287
cabbbbaaaababebbaababaabbbd	73989287
cabbbbaaaabafbbbaababaabbbd	73989287
cabbbbaaaabebbbbaababaabbbd	73989287
cabbbbaaaafbbbbbaababaabbbd	73989287
cabbbbaaaebbbbbbaababaabbbd	73989287
cabbbbaaeabbbbbbaababaabbbd	73989287
cabbbbaeaabbbbbbaababaabbbd	73989287
cabbbbeaaabbbbbbaababaabbbd	73989287
cabbbfbaaabbbbbbaababaabbbd	73989287
cabbgabaaabbbbbbaababaabbbd	73989287
cabgbabaaabbbbbbaababaabbbd	73989287
cagbbabaaabbbbbbaababaabbbd	73989287
cfabbabaaabbbbbbaababaabbbd	73989287
caaabbabaaabbbbbbaababaabbbd	73989287
caaabbabaaabbbbbbaababaabbgd	110983931
caaabbabaaabbbbbbaababaabgbd	110983931
caaabbabaaabbbbbbaababaagbbd	110983931
caaabbabaaabbbbbbaababafabbd	110983931
caaabbabaaabbbbbbaababebabbd	110983931
caaabbabaaabbbbbbaabafbbabbd	110983931
caaabbabaaabbbbbbaabebbbabbd	110983931
caaabbabaaabbbbbbaafbbbbabbd	110983931
caaabbabaaabbbbbbaebbbbbabbd	110983931
caaabbabaaabbbbbbeabbbbbabbd	110983931
caaabbabaaabbbbbfbabbbbbabbd	110983931
caaabbabaaabbbbgababbbbbabbd	110983931
caaabbabaaabbbgbababbbbbabbd	110983931
caaabbabaaabbgbbababbbbbabbd	110983931
caaabbabaaabgbbbababbbbbabbd	110983931
caaabbabaaagbbbbababbbbbabbd	110983931
caaabbabaafabbbbababbbbbabbd	110983931
caaabbabaebabbbbababbbbbabbd	110983931
caaabbabeababbbbababbbbbabbd	110983931
caaabbafbababbbbababbbbbabbd	110983931
caaabbebbababbbbababbbbbabbd	110983931
caaabfbbbababbbbababbbbbabbd	110983931
caaagabbbababbbbababbbbbabbd	110983931
caafaabbbababbbbababbbbbabbd	110983931
caebaabbbababbbbababbbbbabbd	110983931
ceabaabbbababbbbababbbbbabbd	110983931
cbabaabbbababbbbababbbbbabbd	110983931
cbabaabbbababbbbababbbbbabgd	166475897
cbabaabbbababbbbababbbbbagbd	166475897
cbabaabbbababbbbababbbbbfabd	166475897
cbabaabbbababbbbababbbbgaabd	166475897
cbabaabbbababbbbababbbgbaabd	166475897
cbabaabbbababbbbababbgbbaabd	166475897
cbabaabbbababbbbababgbbbaabd	166475897
cbabaabbbababbbbabagbbbbaabd	166475897
cbabaabbbababbbbabfabbbbaabd	166475897
cbabaabbbababbbbagaabbbbaabd	166475897
cbabaabbbababbbbfaaabbbbaabd	166475897
cbabaabbbababbbgaaaabbbbaabd	166475897
cbabaabbbababbgbaaaabbbbaabd	166475897
cbabaabbbababgbbaaaabbbbaabd	166475897
cbabaabbbabagbbbaaaabbbbaabd	166475897
cbabaabbbabfabbbaaaabbbbaabd	166475897
cbabaabbbagaabbbaaaabbbbaabd	166475897
cbabaabbbfaaabbbaaaabbbbaabd	166475897
cbabaabbgaaaabbbaaaabbbbaabd	166475897
cbabaabgbaaaabbbaaaabbbbaabd	166475897
cbabaagbbaaaabbbaaaabbbbaabd	166475897
cbabafabbaaaabbbaaaabbbbaabd	166475897
cbabebabbaaaabbbaaaabbbbaabd	166475897
cbafbbabbaaaabbbaaaabbbbaabd	166475897
cbebbbabbaaaabbbaaaabbbbaabd	166475897
cfbbbbabbaaaabbbaaaabbbbaabd	166475897
caabbbbabbaaaabbbaaaabbbbaabd	166475897
caabbbbabbaaaabbbaaaabbbbaagd	249713846
caabbbbabbaaaabbbaaaabbbbafad	249713846
caabbbbabbaaaabbbaaaabbbbebad	249713846
caabbbbabbaaaabbbaaaabbbfbbad	249713846
caabbbbabbaaaabbbaaaabbgabbad	249713846
caabbbbabbaaaabbbaaaabgbabbad	249713846
caabbbbabbaaaabbbaaaagbbabbad	249713846
caabbbbabbaaaabbbaaafabbabbad	249713846
caabbbbabbaaaabbbaaebabbabbad	249713846
caabbbbabbaaaabbbaeababbabbad	249713846
caabbbbabbaaaabbbeaababbabbad	249713846
caabbbbabbaaaabbfbaababbabbad	249713846
caabbbbabbaaaabgabaababbabbad	249713846
caabbbbabbaaaagbabaababbabbad	249713846
caabbbbabbaaafababaababbabbad	249713846
caabbbbabbaaebababaababbabbad	249713846
caabbbbabbaeabababaababbabbad	249713846
caabbbbabbeaabababaababbabbad	249713846
caabbbbabfbaabababaababbabbad	249713846
caabbbbagabaabababaababbabbad	249713846
caabbbbfaabaabababaababbabbad	249713846
caabbbgaaabaabababaababbabbad	249713846
caabbgbaaabaabababaababbabbad	249713846
caabgbbaaabaabababaababbabbad	249713846
caagbbbaaabaabababaababbabbad	249713846
cafabbbaaabaabababaababbabbad	249713846
cebabbbaaabaabababaababbabbad	249713846
cbbabbbaaabaabababaababbabbad	249713846
cbbabbbaaabaabababaababbabbd	124856923
cbbabbbaaabaabababaababbabgd	187285385
cbbabbbaaabaabababaababbagbd	187285385
cbbabbbaaabaabababaababbfabd	187285385
cbbabbbaaabaabababaababgaabd	187285385
cbbabbbaaabaabababaabagbaabd	187285385
cbbabbbaaabaabababaabfabaabd	187285385
cbbabbbaaabaabababaagaabaabd	187285385
cbbabbbaaabaabababafaaabaabd	187285385
cbbabbbaaabaabababebaaabaabd	187285385
cbbabbbaaabaababafbbaaabaabd	187285385
cbbabbbaaabaababebbbaaabaabd	187285385
cbbabbbaaabaabafbbbbaaabaabd	187285385
cbbabbbaaabaabebbbbbaaabaabd	187285385
cbbabbbaaabaafbbbbbbaaabaabd	187285385
cbbabbbaaabaebbbbbbbaaabaabd	187285385
cbbabbbaaabeabbbbbbbaaabaabd	187285385
cbbabbbaaafbabbbbbbbaaabaabd	187285385
cbbabbbaaebbabbbbbbbaaabaabd	187285385
cbbabbbaeabbabbbbbbbaaabaabd	187285385
cbbabbbeaabbabbbbbbbaaabaabd	187285385
cbbabbfbaabbabbbbbbbaaabaabd	187285385
cbbabgabaabbabbbbbbbaaabaabd	187285385
cbbagbabaabbabbbbbbbaaabaabd	187285385
cbbfababaabbabbbbbbbaaabaabd	187285385
cbgaababaabbabbbbbbbaaabaabd	187285385
cgbaababaabbabbbbbbbaaabaabd	187285385
cabbaababaabbabbbbbbbaaabaabd	187285385
cabbaababaabbabbbbbbbaaabaagd	280928078
cabbaababaabbabbbbbbbaaabafad	280928078
cabbaababaabbabbbbbbbaaabebad	280928078
cabbaababaabbabbbbbbbaaafbbad	280928078
cabbaababaabbabbbbbbbaaebbbad	280928078
cabbaababaabbabbbbbbbaeabbbad	280928078
cabbaababaabbabbbbbbbeaabbbad	280928078
cabbaababaabbabbbbbbfbaabbbad	280928078
cabbaababaabbabbbbbgabaabbbad	280928078
cabbaababaabbabbbbgbabaabbbad	280928078
cabbaababaabbabbbgbbabaabbbad	280928078
cabbaababaabbabbgbbbabaabbbad	280928078
cabbaababaabbabgbbbbabaabbbad	280928078
cabbaababaabbagbbbbbabaabbbad	280928078
cabbaababaabbfabbbbbabaabbbad	280928078
cabbaababaabgaabbbbbabaabbbad	280928078
cabbaababaagbaabbbbbabaabbbad	280928078
cabbaababafabaabbbbbabaabbbad	280928078
cabbaababebabaabbbbbabaabbbad	280928078
cabbaabafbbabaabbbbbabaabbbad	280928078
cabbaabebbbabaabbbbbabaabbbad	280928078
cabbaafbbbbabaabbbbbabaabbbad	280928078
cabbaebbbbbabaabbbbbabaabbbad	280928078
cabbeabbbbbabaabbbbbabaabbbad	280928078
cabfbabbbbbabaabbbbbabaabbbad	280928078
cagababbbbbabaabbbbbabaabbbad	280928078
cfaababbbbbabaabbbbbabaabbbad	280928078
caaaababbbbbabaabbbbbabaabbbad	280928078
caaaababbbbbabaabbbbbabaabbbd	140464039
caaaababbbbbabaabbbbbabaabbgd	210696059
caaaababbbbbabaabbbbbabaabgbd	210696059
caaaababbbbbabaabbbbbabaagbbd	210696059
caaaababbbbbabaabbbbbabafabbd	210696059
caaaababbbbbabaabbbbbabebabbd	210696059
caaaababbbbbabaabbbbbafbbabbd	210696059
caaaababbbbbabaabbbbbebbbabbd	210696059
caaaababbbbbabaabbbbfbbbbabbd	210696059
caaaababbbbbabaabbbgabbbbabbd	210696059
caaaababbbbbabaabbgbabbbbabbd	210696059
caaaababbbbbabaabgbbabbbbabbd	210696059
caaaababbbbbabaagbbbabbbbabbd	210696059
caaaababbbbbabafabbbabbbbabbd	210696059
caaaababbbbbabebabbbabbbbabbd	210696059
caaaababbbbbafbbabbbabbbbabbd	210696059
caaaababbbbbebbbabbbabbbbabbd	210696059
caaaababbbbfbbbbabbbabbbbabbd	210696059
caaaababbbgabbbbabbbabbbbabbd	210696059
caaaababbgbabbbbabbbabbbbabbd	210696059
caaaababgbbabbbbabbbabbbbabbd	210696059
caaaabagbbbabbbbabbbabbbbabbd	210696059
caaaabfabbbabbbbabbbabbbbabbd	210696059
caaaagaabbbabbbbabbbabbbbabbd	210696059
caaafaaabbbabbbbabbbabbbbabbd	210696059
caaebaaabbbabbbbabbbabbbbabbd	210696059
caeabaaabbbabbbbabbbabbbbabbd	210696059
ceaabaaabbbabbbbabbbabbbbabbd	210696059
cbaabaaabbbabbbbabbbabbbbabbd	210696059
cbaabaaabbbabbbbabbbabbbbabgd	316044089
cbaabaaabbbabbbbabbbabbbbagbd	316044089
cbaabaaabbbabbbbabbbabbbbfabd	316044089
cbaabaaabbbabbbbabbbabbbgaabd	316044089
cbaabaaabbbabbbbabbbabbgbaabd	316044089
cbaabaaabbbabbbbabbbabgbbaabd	316044089
cbaabaaabbbabbbbabbbagbbbaabd	316044089
cbaabaaabbbabbbbabbbfabbbaabd	316044089
cbaabaaabbbabbbbabbgaabbbaabd	316044089
cbaabaaabbbabbbbabgbaabbbaabd	316044089
cbaabaaabbbabbbbagbbaabbbaabd	316044089
cbaabaaabbbabbbbfabbaabbbaabd	316044089
cbaabaaabbbabbbgaabbaabbbaabd	316044089
cbaabaaabbbabbgbaabbaabbbaabd	316044089
cbaabaaabbbabgbbaabbaabbbaabd	316044089
cbaabaaabbbagbbbaabbaabbbaabd	316044089
cbaabaaabbbfabbbaabbaabbbaabd	316044089
cbaabaaabbgaabbbaabbaabbbaabd	316044089
cbaabaaabgbaabbbaabbaabbbaabd	316044089
cbaabaaagbbaabbbaabbaabbbaabd	316044089
cbaabaafabbaabbbaabbaabbbaabd	316044089
cbaabaebabbaabbbaabbaabbbaabd	316044089
cbaabeababbaabbbaabbaabbbaabd	316044089
cbaafbababbaabbbaabbaabbbaabd	316044089
cbaebbababbaabbbaabbaabbbaabd	316044089
cbeabbababbaabbbaabbaabbbaabd	316044089
cfbabbababbaabbbaabbaabbbaabd	316044089
caababbababbaabbbaabbaabbbaabd	316044089
caababbababbaabbbaabbaabbbaagd	474066134
caababbababbaabbbaabbaabbbafad	474066134
caababbababbaabbbaabbaabbbebad	474066134
caababbababbaabbbaabbaabbfbbad	474066134
caababbababbaabbbaabbaabgabbad	474066134
caababbababbaabbbaabbaagbabbad	474066134
caababbababbaabbbaabbafababbad	474066134
caababbababbaabbbaabbebababbad	474066134
caababbababbaabbbaabfbbababbad	474066134
caababbababbaabbbaagabbababbad	474066134
caababbababbaabbbafaabbababbad	474066134
caababbababbaabbbebaabbababbad	474066134
caababbababbaabbfbbaabbababbad	474066134
caababbababbaabgabbaabbababbad	474066134
caababbababbaagbabbaabbababbad	474066134
caababbababbafababbaabbababbad	474066134
caababbababbebababbaabbababbad	474066134
caababbababfbbababbaabbababbad	474066134
caababbabagabbababbaabbababbad	474066134
caababbabfaabbababbaabbababbad	474066134
caababbagaaabbababbaabbababbad	474066134
caababbfaaaabbababbaabbababbad	474066134
caababgaaaaabbababbaabbababbad	474066134
caabagbaaaaabbababbaabbababbad	474066134
caabfabaaaaabbababbaabbababbad	474066134
caagaabaaaaabbababbaabbababbad	474066134
cafaaabaaaaabbababbaabbababbad	474066134
cebaaabaaaaabbababbaabbababbad	474066134
cbbaaabaaaaabbababbaabbababbad	474066134
cbbaaabaaaaabbababbaabbababbd	237033067
cbbaaabaaaaabbababbaabbababgd	355549601
cbbaaabaaaaabbababbaabbabagbd	355549601
cbbaaabaaaaabbababbaabbabfabd	355549601
cbbaaabaaaaabbababbaabbagaabd	355549601
cbbaaabaaaaabbababbaabbfaaabd	355549601
cbbaaabaaaaabbababbaabgaaaabd	355549601
cbbaaabaaaaabbababbaagbaaaabd	355549601
cbbaaabaaaaabbababbafabaaaabd	355549601
cbbaaabaaaaabbababbebabaaaabd	355549601
cbbaaabaaaaabbababfbbabaaaabd	355549601
cbbaaabaaaaabbabagabbabaaaabd	355549601
cbbaaabaaaaabbabfaabbabaaaabd	355549601
cbbaaabaaaaabbagaaabbabaaaabd	355549601
cbbaaabaaaaabbfaaaabbabaaaabd	355549601
cbbaaabaaaaabgaaaaabbabaaaabd	355549601
cbbaaabaaaaagbaaaaabbabaaaabd	355549601
cbbaaabaaaafabaaaaabbabaaaabd	355549601
cbbaaabaaaebabaaaaabbabaaaabd	355549601
cbbaaabaaeababaaaaabbabaaaabd	355549601
cbbaaabaeaababaaaaabbabaaaabd	355549601
cbbaaabeaaababaaaaabbabaaaabd	355549601
cbbaaafbaaababaaaaabbabaaaabd	355549601
cbbaaebbaaababaaaaabbabaaaabd	355549601
cbbaeabbaaababaaaaabbabaaaabd	355549601
cbbeaabbaaababaaaaabbabaaaabd	355549601
cbfbaabbaaababaaaaabbabaaaabd	355549601
cgabaabbaaababaaaaabbabaaaabd	355549601
cababaabbaaababaaaaabbabaaaabd	355549601
