"Input number 959414494 with intial rewrite term cbbaabaababbbbbaaaaaaabbabbbbad
Generated final number 471412148906647493 with final rewrite term cbabaaabababbaabababbabbabaaaaabbbaabbaaabaababbbbbbbaaababd
Number of steps: 3207  Number of array doubles: 0"
Term	Number
cabaafaaabaaabaaabbabaaabbbbbbbd	2049062015
cabaebaaabaaabaaabbabaaabbbbbbbd	2049062015
cabeabaaabaaabaaabbabaaabbbbbbbd	2049062015
cafbabaaabaaabaaabbabaaabbbbbbbd	2049062015
cebbabaaabaaabaaabbabaaabbbbbbbd	2049062015
cbbbabaaabaaabaaabbabaaabbbbbbbd	2049062015
cbbbabaaabaaabaaabbabaaabbbbbbgd	3073593023
cbbbabaaabaaabaaabbabaaabbbbbgbd	3073593023
cbbbabaaabaaabaaabbabaaabbbbgbbd	3073593023
cbbbabaaabaaabaaabbabaaabbbgbbbd	3073593023
cbbbabaaabaaabaaabbabaaabbgbbbbd	3073593023
cbbbabaaabaaabaaabbabaaabgbbbbbd	3073593023
cbbbabaaabaaabaaabbabaaagbbbbbbd	3073593023
cbbbabaaabaaabaaabbabaafabbbbbbd	3073593023
cbbbabaaabaaabaaabbabaebabbbbbbd	3073593023
cbbbabaaabaaabaaabbabeababbbbbbd	3073593023
cbbbabaaabaaabaaabbafbababbbbbbd	3073593023
cbbbabaaabaaabaaabbebbababbbbbbd	3073593023
cbbbabaaabaaabaaabfbbbababbbbbbd	3073593023
cbbbabaaabaaabaaagabbbababbbbbbd	3073593023
cbbbabaaabaaabaafaabbbababbbbbbd	3073593023
cbbbabaaabaaabaebaabbbababbbbbbd	3073593023
cbbbabaaabaaabeabaabbbababbbbbbd	3073593023
cbbbabaaabaaafbabaabbbababbbbbbd	3073593023
cbbbabaaabaaebbabaabbbababbbbbbd	3073593023
cbbbabaaabaeabbabaabbbababbbbbbd	3073593023
cbbbabaaabeaabbabaabbbababbbbbbd	3073593023
cbbbabaaafbaabbabaabbbababbbbbbd	3073593023
cbbbabaaebbaabbabaabbbababbbbbbd	3073593023
cbbbabaeabbaabbabaabbbababbbbbbd	3073593023
cbbbabeaabbaabbabaabbbababbbbbbd	3073593023
cbbbafbaabbaabbabaabbbababbbbbbd	3073593023
cbbbebbaabbaabbabaabbbababbbbbbd	3073593023
cbbfbbbaabbaabbabaabbbababbbbbbd	3073593023
cbgabbbaabbaabbabaabbbababbbbbbd	3073593023
cgbabbbaabbaabbabaabbbababbbbbbd	3073593023
cabbabbbaabbaabbabaabbbababbbbbbd	3073593023
cabbabbbaabbaabbabaabbbababbbbbgd	4610389535
cabbabbbaabbaabbabaabbbababbbbgbd	4610389535
cabbabbbaabbaabbabaabbbababbbgbbd	4610389535
cabbabbbaabbaabbabaabbbababbgbbbd	4610389535
cabbabbbaabbaabbabaabbbababgbbbbd	4610389535
cabbabbbaabbaabbabaabbbabagbbbbbd	4610389535
cabbabbbaabbaabbabaabbbabfabbbbbd	4610389535
cabbabbbaabbaabbabaabbbagaabbbbbd	4610389535
cabbabbbaabbaabbabaabbbfaaabbbbbd	4610389535
cabbabbbaabbaabbabaabbgaaaabbbbbd	4610389535
cabbabbbaabbaabbabaabgbaaaabbbbbd	4610389535
cabbabbbaabbaabbabaagbbaaaabbbbbd	4610389535
