"Input number 10473136 with intial rewrite term caabbbbbbbaabbbababbaaaad
Generated final number 620527837 with final rewrite term caabaabbbbbbaabaaaaaaabbabbbabd
Number of steps: 855  Number of array doubles: 0"
Term	Number
caaabbbbbbbbbbabababebad	7077374
caaabbbbbbbbbbababafbbad	7077374
caaabbbbbbbbbbababebbbad	7077374
caaabbbbbbbbbbabafbbbbad	7077374
caaabbbbbbbbbbabebbbbbad	7077374
caaabbbbbbbbbbafbbbbbbad	7077374
caaabbbbbbbbbbebbbbbbbad	7077374
caaabbbbbbbbbfbbbbbbbbad	7077374
caaabbbbbbbbgabbbbbbbbad	7077374
caaabbbbbbbgbabbbbbbbbad	7077374
caaabbbbbbgbbabbbbbbbbad	7077374
caaabbbbbgbbbabbbbbbbbad	7077374
caaabbbbgbbbbabbbbbbbbad	7077374
caaabbbgbbbbbabbbbbbbbad	7077374
caaabbgbbbbbbabbbbbbbbad	7077374
caaabgbbbbbbbabbbbbbbbad	7077374
caaagbbbbbbbbabbbbbbbbad	7077374
caafabbbbbbbbabbbbbbbbad	7077374
caebabbbbbbbbabbbbbbbbad	7077374
ceababbbbbbbbabbbbbbbbad	7077374
cbababbbbbbbbabbbbbbbbad	7077374
cbababbbbbbbbabbbbbbbbd	3538687
cbababbbbbbbbabbbbbbbgd	5308031
cbababbbbbbbbabbbbbbgbd	5308031
cbababbbbbbbbabbbbbgbbd	5308031
cbababbbbbbbbabbbbgbbbd	5308031
cbababbbbbbbbabbbgbbbbd	5308031
cbababbbbbbbbabbgbbbbbd	5308031
cbababbbbbbbbabgbbbbbbd	5308031
cbababbbbbbbbagbbbbbbbd	5308031
cbababbbbbbbbfabbbbbbbd	5308031
cbababbbbbbbgaabbbbbbbd	5308031
cbababbbbbbgbaabbbbbbbd	5308031
cbababbbbbgbbaabbbbbbbd	5308031
cbababbbbgbbbaabbbbbbbd	5308031
cbababbbgbbbbaabbbbbbbd	5308031
cbababbgbbbbbaabbbbbbbd	5308031
cbababgbbbbbbaabbbbbbbd	5308031
cbabagbbbbbbbaabbbbbbbd	5308031
cbabfabbbbbbbaabbbbbbbd	5308031
cbagaabbbbbbbaabbbbbbbd	5308031
cbfaaabbbbbbbaabbbbbbbd	5308031
cgaaaabbbbbbbaabbbbbbbd	5308031
cabaaaabbbbbbbaabbbbbbbd	5308031
cabaaaabbbbbbbaabbbbbbgd	7962047
cabaaaabbbbbbbaabbbbbgbd	7962047
cabaaaabbbbbbbaabbbbgbbd	7962047
cabaaaabbbbbbbaabbbgbbbd	7962047
cabaaaabbbbbbbaabbgbbbbd	7962047
cabaaaabbbbbbbaabgbbbbbd	7962047
cabaaaabbbbbbbaagbbbbbbd	7962047
cabaaaabbbbbbbafabbbbbbd	7962047
cabaaaabbbbbbbebabbbbbbd	7962047
cabaaaabbbbbbfbbabbbbbbd	7962047
cabaaaabbbbbgabbabbbbbbd	7962047
cabaaaabbbbgbabbabbbbbbd	7962047
cabaaaabbbgbbabbabbbbbbd	7962047
cabaaaabbgbbbabbabbbbbbd	7962047
cabaaaabgbbbbabbabbbbbbd	7962047
cabaaaagbbbbbabbabbbbbbd	7962047
cabaaafabbbbbabbabbbbbbd	7962047
cabaaebabbbbbabbabbbbbbd	7962047
cabaeababbbbbabbabbbbbbd	7962047
cabeaababbbbbabbabbbbbbd	7962047
cafbaababbbbbabbabbbbbbd	7962047
cebbaababbbbbabbabbbbbbd	7962047
cbbbaababbbbbabbabbbbbbd	7962047
cbbbaababbbbbabbabbbbbgd	11943071
cbbbaababbbbbabbabbbbgbd	11943071
cbbbaababbbbbabbabbbgbbd	11943071
cbbbaababbbbbabbabbgbbbd	11943071
cbbbaababbbbbabbabgbbbbd	11943071
cbbbaababbbbbabbagbbbbbd	11943071
cbbbaababbbbbabbfabbbbbd	11943071
cbbbaababbbbbabgaabbbbbd	11943071
cbbbaababbbbbagbaabbbbbd	11943071
cbbbaababbbbbfabaabbbbbd	11943071
cbbbaababbbbgaabaabbbbbd	11943071
cbbbaababbbgbaabaabbbbbd	11943071
cbbbaababbgbbaabaabbbbbd	11943071
cbbbaababgbbbaabaabbbbbd	11943071
cbbbaabagbbbbaabaabbbbbd	11943071
cbbbaabfabbbbaabaabbbbbd	11943071
cbbbaagaabbbbaabaabbbbbd	11943071
cbbbafaaabbbbaabaabbbbbd	11943071
cbbbebaaabbbbaabaabbbbbd	11943071
cbbfbbaaabbbbaabaabbbbbd	11943071
cbgabbaaabbbbaabaabbbbbd	11943071
cgbabbaaabbbbaabaabbbbbd	11943071
cabbabbaaabbbbaabaabbbbbd	11943071
cabbabbaaabbbbaabaabbbbgd	17914607
cabbabbaaabbbbaabaabbbgbd	17914607
cabbabbaaabbbbaabaabbgbbd	17914607
cabbabbaaabbbbaabaabgbbbd	17914607
cabbabbaaabbbbaabaagbbbbd	17914607
cabbabbaaabbbbaabafabbbbd	17914607
cabbabbaaabbbbaabebabbbbd	17914607
cabbabbaaabbbbaafbbabbbbd	17914607
cabbabbaaabbbbaebbbabbbbd	17914607
cabbabbaaabbbbeabbbabbbbd	17914607
cabbabbaaabbbfbabbbabbbbd	17914607
cabbabbaaabbgababbbabbbbd	17914607
cabbabbaaabgbababbbabbbbd	17914607
cabbabbaaagbbababbbabbbbd	17914607
cabbabbaafabbababbbabbbbd	17914607
cabbabbaebabbababbbabbbbd	17914607
cabbabbeababbababbbabbbbd	17914607
cabbabfbababbababbbabbbbd	17914607
cabbagabababbababbbabbbbd	17914607
cabbfaabababbababbbabbbbd	17914607
cabgaaabababbababbbabbbbd	17914607
cagbaaabababbababbbabbbbd	17914607
cfabaaabababbababbbabbbbd	17914607
caaabaaabababbababbbabbbbd	17914607
caaabaaabababbababbbabbbgd	26871911
caaabaaabababbababbbabbgbd	26871911
caaabaaabababbababbbabgbbd	26871911
caaabaaabababbababbbagbbbd	26871911
caaabaaabababbababbbfabbbd	26871911
caaabaaabababbababbgaabbbd	26871911
caaabaaabababbababgbaabbbd	26871911
caaabaaabababbabagbbaabbbd	26871911
caaabaaabababbabfabbaabbbd	26871911
caaabaaabababbagaabbaabbbd	26871911
